pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Scrafty,77,move,1,Drain Punch,86.0%,,,,,,,,
Scrafty,77,move,2,Knock Off,72.4%,,,,,,,,
Scrafty,77,move,3,Dragon Dance,50.5%,,,,,,,,
Scrafty,77,move,4,Ice Punch,31.8%,,,,,,,,
Scrafty,77,move,5,Bulk Up,28.1%,,,,,,,,
Scrafty,77,move,6,Poison Jab,17.8%,,,,,,,,
Scrafty,77,move,7,Taunt,14.0%,,,,,,,,
Scrafty,77,move,8,Crunch,12.0%,,,,,,,,
Scrafty,77,move,9,Throat Chop,10.3%,,,,,,,,
Scrafty,77,move,10,High Jump Kick,8.7%,,,,,,,,
Scrafty,77,held_item,1,Scraftinite,96.1%,,,,,,,,
Scrafty,77,held_item,2,Leftovers,1.1%,,,,,,,,
Scrafty,77,held_item,3,Sitrus Berry,0.9%,,,,,,,,
Scrafty,77,held_item,4,Lum Berry,0.3%,,,,,,,,
Scrafty,77,held_item,5,Focus Sash,0.3%,,,,,,,,
Scrafty,77,held_item,6,Life Orb,0.2%,,,,,,,,
Scrafty,77,held_item,7,Big Root,0.1%,,,,,,,,
Scrafty,77,held_item,8,Roseli Berry,0.1%,,,,,,,,
Scrafty,77,held_item,9,Expert Belt,0.1%,,,,,,,,
Scrafty,77,held_item,10,Muscle Band,0.1%,,,,,,,,
Scrafty,77,teammate,1,Garchomp,,,,,,,,,
Scrafty,77,teammate,2,Gholdengo,,,,,,,,,
Scrafty,77,teammate,3,Skeledirge,,,,,,,,,
Scrafty,77,teammate,4,Mimikyu,,,,,,,,,
Scrafty,77,teammate,5,Alolan Ninetales,,,,,,,,,
Scrafty,77,teammate,6,Meowscarada,,,,,,,,,
Scrafty,77,teammate,7,Rotom Wash,,,,,,,,,
Scrafty,77,teammate,8,Raichu,,,,,,,,,
Scrafty,77,teammate,9,Archaludon,,,,,,,,,
Scrafty,77,teammate,10,Metagross,,,,,,,,,
Scrafty,77,stat_alignment,1,Adamant,59.4%,Attack,Sp. Atk,,,,,,
Scrafty,77,stat_alignment,2,Jolly,21.1%,Speed,Sp. Atk,,,,,,
Scrafty,77,stat_alignment,3,Careful,9.2%,Sp. Def,Sp. Atk,,,,,,
Scrafty,77,stat_alignment,4,Impish,7.5%,Defense,Sp. Atk,,,,,,
Scrafty,77,stat_alignment,5,Brave,1.8%,Attack,Speed,,,,,,
Scrafty,77,stat_alignment,6,Sassy,0.3%,Sp. Def,Speed,,,,,,
Scrafty,77,stat_alignment,7,Relaxed,0.2%,Defense,Speed,,,,,,
Scrafty,77,stat_alignment,8,Naughty,0.2%,Attack,Sp. Def,,,,,,
Scrafty,77,stat_alignment,9,Lonely,0.1%,Attack,Defense,,,,,,
Scrafty,77,stat_alignment,10,Rash,0.1%,Sp. Atk,Sp. Def,,,,,,
Scrafty,77,stat_points,1,,11.5%,,,32,32,2,0,0,0
Scrafty,77,stat_points,2,,7.4%,,,2,32,0,0,0,32
Scrafty,77,stat_points,3,,5.3%,,,32,32,0,0,0,2
Scrafty,77,stat_points,4,,4.9%,,,32,32,0,0,2,0
Scrafty,77,stat_points,5,,3.7%,,,1,32,1,0,0,32
Scrafty,77,stat_points,6,,2.8%,,,32,8,0,0,0,26
Scrafty,77,stat_points,7,,2.4%,,,32,2,0,0,0,32
Scrafty,77,stat_points,8,,2.2%,,,31,32,3,0,0,0
Scrafty,77,stat_points,9,,2.1%,,,31,32,0,0,0,3
Scrafty,77,stat_points,10,,2.0%,,,32,32,1,0,1,0
Scrafty,77,stat_points,11,,1.6%,,,32,0,2,0,32,0
Scrafty,77,stat_points,12,,1.6%,,,32,2,32,0,0,0
Scrafty,77,ability,1,Intimidate,97.5%,,,,,,,,
Scrafty,77,ability,2,Shed Skin,1.3%,,,,,,,,
Scrafty,77,ability,3,Moxie,1.2%,,,,,,,,
