pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Serperior,70,move,1,Leaf Storm,99.7%,,,,,,,,
Serperior,70,move,2,Glare,63.8%,,,,,,,,
Serperior,70,move,3,Dragon Pulse,49.0%,,,,,,,,
Serperior,70,move,4,Taunt,32.0%,,,,,,,,
Serperior,70,move,5,Leech Seed,26.6%,,,,,,,,
Serperior,70,move,6,Substitute,19.8%,,,,,,,,
Serperior,70,move,7,Giga Drain,18.1%,,,,,,,,
Serperior,70,move,8,Synthesis,18.0%,,,,,,,,
Serperior,70,move,9,Reflect,17.5%,,,,,,,,
Serperior,70,move,10,Light Screen,14.3%,,,,,,,,
Serperior,70,held_item,1,Leftovers,25.6%,,,,,,,,
Serperior,70,held_item,2,Focus Sash,14.6%,,,,,,,,
Serperior,70,held_item,3,Choice Scarf,13.4%,,,,,,,,
Serperior,70,held_item,4,Sitrus Berry,11.5%,,,,,,,,
Serperior,70,held_item,5,Light Clay,10.9%,,,,,,,,
Serperior,70,held_item,6,Miracle Seed,4.4%,,,,,,,,
Serperior,70,held_item,7,Wide Lens,3.3%,,,,,,,,
Serperior,70,held_item,8,Lum Berry,3.0%,,,,,,,,
Serperior,70,held_item,9,Life Orb,2.9%,,,,,,,,
Serperior,70,held_item,10,Metronome,2.6%,,,,,,,,
Serperior,70,teammate,1,Garchomp,,,,,,,,,
Serperior,70,teammate,2,Raichu,,,,,,,,,
Serperior,70,teammate,3,Staraptor,,,,,,,,,
Serperior,70,teammate,4,Charizard,,,,,,,,,
Serperior,70,teammate,5,Mimikyu,,,,,,,,,
Serperior,70,teammate,6,Blaziken,,,,,,,,,
Serperior,70,teammate,7,Metagross,,,,,,,,,
Serperior,70,teammate,8,Archaludon,,,,,,,,,
Serperior,70,teammate,9,Dragonite,,,,,,,,,
Serperior,70,teammate,10,Basculegion Male,,,,,,,,,
Serperior,70,stat_alignment,1,Timid,68.8%,Speed,Attack,,,,,,
Serperior,70,stat_alignment,2,Modest,17.4%,Sp. Atk,Attack,,,,,,
Serperior,70,stat_alignment,3,Bold,8.0%,Defense,Attack,,,,,,
Serperior,70,stat_alignment,4,Calm,3.3%,Sp. Def,Attack,,,,,,
Serperior,70,stat_alignment,5,Mild,0.7%,Sp. Atk,Defense,,,,,,
Serperior,70,stat_alignment,6,Hasty,0.4%,Speed,Defense,,,,,,
Serperior,70,stat_alignment,7,Quiet,0.3%,Sp. Atk,Speed,,,,,,
Serperior,70,stat_alignment,8,Naive,0.2%,Speed,Sp. Def,,,,,,
Serperior,70,stat_alignment,9,Relaxed,0.2%,Defense,Speed,,,,,,
Serperior,70,stat_alignment,10,Gentle,0.2%,Sp. Def,Defense,,,,,,
Serperior,70,stat_points,1,,26.8%,,,2,0,0,32,0,32
Serperior,70,stat_points,2,,5.9%,,,0,0,0,32,2,32
Serperior,70,stat_points,3,,5.3%,,,0,0,2,32,0,32
Serperior,70,stat_points,4,,4.1%,,,32,0,0,2,0,32
Serperior,70,stat_points,5,,2.8%,,,1,0,1,32,0,32
Serperior,70,stat_points,6,,1.9%,,,32,0,2,0,0,32
Serperior,70,stat_points,7,,1.8%,,,1,0,0,32,1,32
Serperior,70,stat_points,8,,1.7%,,,0,0,0,32,0,32
Serperior,70,stat_points,9,,1.5%,,,32,0,32,2,0,0
Serperior,70,stat_points,10,,1.4%,,,27,0,12,0,0,27
Serperior,70,stat_points,11,,1.2%,,,32,0,0,32,0,2
Serperior,70,stat_points,12,,1.2%,,,32,0,5,19,5,5
Serperior,70,ability,1,Contrary,99.4%,,,,,,,,
Serperior,70,ability,2,Overgrow,0.6%,,,,,,,,
