pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Sharpedo,113,move,1,Protect,80.7%,,,,,,,,
Sharpedo,113,move,2,Crunch,70.0%,,,,,,,,
Sharpedo,113,move,3,Destiny Bond,69.4%,,,,,,,,
Sharpedo,113,move,4,Ice Fang,32.9%,,,,,,,,
Sharpedo,113,move,5,Close Combat,31.5%,,,,,,,,
Sharpedo,113,move,6,Waterfall,20.1%,,,,,,,,
Sharpedo,113,move,7,Liquidation,17.3%,,,,,,,,
Sharpedo,113,move,8,Ice Beam,14.8%,,,,,,,,
Sharpedo,113,move,9,Psychic Fangs,12.8%,,,,,,,,
Sharpedo,113,move,10,Aqua Jet,1.0%,,,,,,,,
Sharpedo,113,held_item,1,Focus Sash,47.2%,,,,,,,,
Sharpedo,113,held_item,2,Sharpedonite,38.7%,,,,,,,,
Sharpedo,113,held_item,3,Life Orb,8.5%,,,,,,,,
Sharpedo,113,held_item,4,Mystic Water,1.0%,,,,,,,,
Sharpedo,113,held_item,5,Lum Berry,0.9%,,,,,,,,
Sharpedo,113,held_item,6,Expert Belt,0.5%,,,,,,,,
Sharpedo,113,held_item,7,King's Rock,0.5%,,,,,,,,
Sharpedo,113,held_item,8,Quick Claw,0.4%,,,,,,,,
Sharpedo,113,held_item,9,Black Glasses,0.2%,,,,,,,,
Sharpedo,113,held_item,10,Mental Herb,0.2%,,,,,,,,
Sharpedo,113,teammate,1,Garchomp,,,,,,,,,
Sharpedo,113,teammate,2,Raichu,,,,,,,,,
Sharpedo,113,teammate,3,Mimikyu,,,,,,,,,
Sharpedo,113,teammate,4,Meowscarada,,,,,,,,,
Sharpedo,113,teammate,5,Staraptor,,,,,,,,,
Sharpedo,113,teammate,6,Archaludon,,,,,,,,,
Sharpedo,113,teammate,7,Metagross,,,,,,,,,
Sharpedo,113,teammate,8,Blaziken,,,,,,,,,
Sharpedo,113,teammate,9,Basculegion Male,,,,,,,,,
Sharpedo,113,teammate,10,Volcarona,,,,,,,,,
Sharpedo,113,stat_alignment,1,Adamant,55.5%,Attack,Sp. Atk,,,,,,
Sharpedo,113,stat_alignment,2,Jolly,19.9%,Speed,Sp. Atk,,,,,,
Sharpedo,113,stat_alignment,3,Modest,5.6%,Sp. Atk,Attack,,,,,,
Sharpedo,113,stat_alignment,4,Naughty,5.1%,Attack,Sp. Def,,,,,,
Sharpedo,113,stat_alignment,5,Naive,3.8%,Speed,Sp. Def,,,,,,
Sharpedo,113,stat_alignment,6,Lonely,3.2%,Attack,Defense,,,,,,
Sharpedo,113,stat_alignment,7,Hasty,2.3%,Speed,Defense,,,,,,
Sharpedo,113,stat_alignment,8,Rash,1.8%,Sp. Atk,Sp. Def,,,,,,
Sharpedo,113,stat_alignment,9,Timid,1.6%,Speed,Attack,,,,,,
Sharpedo,113,stat_alignment,10,Mild,0.7%,Sp. Atk,Defense,,,,,,
Sharpedo,113,stat_points,1,,53.0%,,,2,32,0,0,0,32
Sharpedo,113,stat_points,2,,8.2%,,,0,32,2,0,0,32
Sharpedo,113,stat_points,3,,5.2%,,,0,32,0,0,0,32
Sharpedo,113,stat_points,4,,4.9%,,,0,32,0,0,2,32
Sharpedo,113,stat_points,5,,4.4%,,,2,0,0,32,0,32
Sharpedo,113,stat_points,6,,4.1%,,,0,32,0,2,0,32
Sharpedo,113,stat_points,7,,2.1%,,,0,32,1,0,1,32
Sharpedo,113,stat_points,8,,1.1%,,,0,0,2,32,0,32
Sharpedo,113,stat_points,9,,0.9%,,,0,2,0,32,0,32
Sharpedo,113,stat_points,10,,0.8%,,,4,32,0,0,0,30
Sharpedo,113,stat_points,11,,0.8%,,,1,0,0,32,0,32
Sharpedo,113,stat_points,12,,0.6%,,,0,8,26,0,0,32
Sharpedo,113,ability,1,Speed Boost,99.0%,,,,,,,,
Sharpedo,113,ability,2,Rough Skin,1.0%,,,,,,,,
