pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Simipour,226,move,1,Ice Beam,69.7%,,,,,,,,
Simipour,226,move,2,Focus Blast,40.6%,,,,,,,,
Simipour,226,move,3,Fake Out,37.5%,,,,,,,,
Simipour,226,move,4,Scald,33.0%,,,,,,,,
Simipour,226,move,5,Surf,31.0%,,,,,,,,
Simipour,226,move,6,Hydro Pump,27.6%,,,,,,,,
Simipour,226,move,7,Flip Turn,19.4%,,,,,,,,
Simipour,226,move,8,Taunt,19.1%,,,,,,,,
Simipour,226,move,9,Grass Knot,16.7%,,,,,,,,
Simipour,226,move,10,Belch,13.6%,,,,,,,,
Simipour,226,held_item,1,Focus Sash,67.2%,,,,,,,,
Simipour,226,held_item,2,Life Orb,8.5%,,,,,,,,
Simipour,226,held_item,3,Choice Scarf,6.9%,,,,,,,,
Simipour,226,held_item,4,Sitrus Berry,3.9%,,,,,,,,
Simipour,226,held_item,5,Muscle Band,2.3%,,,,,,,,
Simipour,226,held_item,6,Mystic Water,2.0%,,,,,,,,
Simipour,226,held_item,7,Hard Stone,1.5%,,,,,,,,
Simipour,226,held_item,8,Expert Belt,1.5%,,,,,,,,
Simipour,226,held_item,9,Focus Band,1.2%,,,,,,,,
Simipour,226,held_item,10,Lum Berry,1.0%,,,,,,,,
Simipour,226,teammate,1,Greninja,,,,,,,,,
Simipour,226,teammate,2,Pyroar,,,,,,,,,
Simipour,226,teammate,3,Garchomp,,,,,,,,,
Simipour,226,teammate,4,Hippowdon,,,,,,,,,
Simipour,226,teammate,5,Simisage,,,,,,,,,
Simipour,226,teammate,6,Meowscarada,,,,,,,,,
Simipour,226,teammate,7,Simisear,,,,,,,,,
Simipour,226,teammate,8,Floette,,,,,,,,,
Simipour,226,teammate,9,Whimsicott,,,,,,,,,
Simipour,226,teammate,10,Metagross,,,,,,,,,
Simipour,226,stat_alignment,1,Timid,34.6%,Speed,Attack,,,,,,
Simipour,226,stat_alignment,2,Modest,23.1%,Sp. Atk,Attack,,,,,,
Simipour,226,stat_alignment,3,Rash,12.9%,Sp. Atk,Sp. Def,,,,,,
Simipour,226,stat_alignment,4,Hasty,11.7%,Speed,Defense,,,,,,
Simipour,226,stat_alignment,5,Jolly,5.6%,Speed,Sp. Atk,,,,,,
Simipour,226,stat_alignment,6,Adamant,4.1%,Attack,Sp. Atk,,,,,,
Simipour,226,stat_alignment,7,Mild,2.8%,Sp. Atk,Defense,,,,,,
Simipour,226,stat_alignment,8,Bold,1.8%,Defense,Attack,,,,,,
Simipour,226,stat_alignment,9,Lax,1.3%,Defense,Sp. Def,,,,,,
Simipour,226,stat_alignment,10,Naive,1.1%,Speed,Sp. Def,,,,,,
Simipour,226,stat_points,1,,22.2%,,,2,0,0,32,0,32
Simipour,226,stat_points,2,,13.7%,,,0,2,0,32,0,32
Simipour,226,stat_points,3,,12.9%,,,0,0,2,32,0,32
Simipour,226,stat_points,4,,12.9%,,,0,0,0,32,0,32
Simipour,226,stat_points,5,,11.0%,,,1,0,0,32,1,32
Simipour,226,stat_points,6,,6.0%,,,1,0,1,32,0,32
Simipour,226,stat_points,7,,3.9%,,,1,32,1,0,0,32
Simipour,226,stat_points,8,,2.2%,,,2,32,0,0,0,32
Simipour,226,stat_points,9,,1.6%,,,0,32,0,32,0,2
Simipour,226,stat_points,10,,1.4%,,,0,0,1,32,1,32
Simipour,226,stat_points,11,,1.4%,,,0,0,0,32,2,32
Simipour,226,stat_points,12,,1.2%,,,32,0,32,0,0,2
Simipour,226,ability,1,Torrent,95.7%,,,,,,,,
Simipour,226,ability,2,Gluttony,4.3%,,,,,,,,
