pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Simisear,232,move,1,Flamethrower,46.5%,,,,,,,,
Simisear,232,move,2,Overheat,36.6%,,,,,,,,
Simisear,232,move,3,Grass Knot,36.2%,,,,,,,,
Simisear,232,move,4,Fake Out,26.9%,,,,,,,,
Simisear,232,move,5,Scorching Sands,26.1%,,,,,,,,
Simisear,232,move,6,Rock Slide,19.9%,,,,,,,,
Simisear,232,move,7,Focus Blast,17.2%,,,,,,,,
Simisear,232,move,8,Flare Blitz,15.3%,,,,,,,,
Simisear,232,move,9,Will-O-Wisp,13.2%,,,,,,,,
Simisear,232,move,10,Flame Charge,12.5%,,,,,,,,
Simisear,232,held_item,1,Focus Sash,34.4%,,,,,,,,
Simisear,232,held_item,2,Sitrus Berry,18.0%,,,,,,,,
Simisear,232,held_item,3,Choice Scarf,11.2%,,,,,,,,
Simisear,232,held_item,4,Life Orb,10.1%,,,,,,,,
Simisear,232,held_item,5,Charcoal,7.5%,,,,,,,,
Simisear,232,held_item,6,Expert Belt,2.2%,,,,,,,,
Simisear,232,held_item,7,Quick Claw,1.9%,,,,,,,,
Simisear,232,held_item,8,Leftovers,1.9%,,,,,,,,
Simisear,232,held_item,9,Muscle Band,1.7%,,,,,,,,
Simisear,232,held_item,10,Black Belt,1.4%,,,,,,,,
Simisear,232,teammate,1,Garchomp,,,,,,,,,
Simisear,232,teammate,2,Kingambit,,,,,,,,,
Simisear,232,teammate,3,Mimikyu,,,,,,,,,
Simisear,232,teammate,4,Simisage,,,,,,,,,
Simisear,232,teammate,5,Simipour,,,,,,,,,
Simisear,232,teammate,6,Basculegion Male,,,,,,,,,
Simisear,232,teammate,7,Whimsicott,,,,,,,,,
Simisear,232,teammate,8,Araquanid,,,,,,,,,
Simisear,232,teammate,9,Alakazam,,,,,,,,,
Simisear,232,teammate,10,Chesnaught,,,,,,,,,
Simisear,232,stat_alignment,1,Modest,35.2%,Sp. Atk,Attack,,,,,,
Simisear,232,stat_alignment,2,Timid,27.0%,Speed,Attack,,,,,,
Simisear,232,stat_alignment,3,Jolly,11.8%,Speed,Sp. Atk,,,,,,
Simisear,232,stat_alignment,4,Hasty,6.4%,Speed,Defense,,,,,,
Simisear,232,stat_alignment,5,Bold,4.6%,Defense,Attack,,,,,,
Simisear,232,stat_alignment,6,Naive,3.5%,Speed,Sp. Def,,,,,,
Simisear,232,stat_alignment,7,Mild,3.2%,Sp. Atk,Defense,,,,,,
Simisear,232,stat_alignment,8,Adamant,2.4%,Attack,Sp. Atk,,,,,,
Simisear,232,stat_alignment,9,Calm,1.8%,Sp. Def,Attack,,,,,,
Simisear,232,stat_alignment,10,Quiet,1.6%,Sp. Atk,Speed,,,,,,
Simisear,232,stat_points,1,,28.9%,,,2,0,0,32,0,32
Simisear,232,stat_points,2,,10.9%,,,0,0,2,32,0,32
Simisear,232,stat_points,3,,8.6%,,,2,32,0,0,0,32
Simisear,232,stat_points,4,,8.0%,,,2,0,19,32,0,13
Simisear,232,stat_points,5,,6.7%,,,0,0,7,32,0,27
Simisear,232,stat_points,6,,2.6%,,,31,0,32,0,1,0
Simisear,232,stat_points,7,,2.5%,,,0,2,0,32,0,32
Simisear,232,stat_points,8,,2.4%,,,1,32,0,0,1,32
Simisear,232,stat_points,9,,2.1%,,,0,32,0,32,0,2
Simisear,232,stat_points,10,,2.1%,,,1,0,1,32,0,32
Simisear,232,stat_points,11,,1.8%,,,1,1,0,32,0,32
Simisear,232,stat_points,12,,1.8%,,,32,0,0,0,32,2
Simisear,232,ability,1,Blaze,78.9%,,,,,,,,
Simisear,232,ability,2,Gluttony,21.1%,,,,,,,,
