pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Sinistcha,71,move,1,Matcha Gotcha,96.5%,,,,,,,,
Sinistcha,71,move,2,Strength Sap,92.9%,,,,,,,,
Sinistcha,71,move,3,Shadow Ball,73.6%,,,,,,,,
Sinistcha,71,move,4,Calm Mind,63.2%,,,,,,,,
Sinistcha,71,move,5,Scald,17.0%,,,,,,,,
Sinistcha,71,move,6,Trick Room,10.6%,,,,,,,,
Sinistcha,71,move,7,Hex,8.1%,,,,,,,,
Sinistcha,71,move,8,Curse,6.7%,,,,,,,,
Sinistcha,71,move,9,Foul Play,3.4%,,,,,,,,
Sinistcha,71,move,10,Memento,3.2%,,,,,,,,
Sinistcha,71,held_item,1,Leftovers,44.0%,,,,,,,,
Sinistcha,71,held_item,2,Sitrus Berry,19.8%,,,,,,,,
Sinistcha,71,held_item,3,Big Root,12.1%,,,,,,,,
Sinistcha,71,held_item,4,Kasib Berry,4.6%,,,,,,,,
Sinistcha,71,held_item,5,Focus Sash,3.9%,,,,,,,,
Sinistcha,71,held_item,6,Lum Berry,3.8%,,,,,,,,
Sinistcha,71,held_item,7,Bright Powder,1.7%,,,,,,,,
Sinistcha,71,held_item,8,Life Orb,1.1%,,,,,,,,
Sinistcha,71,held_item,9,Quick Claw,1.1%,,,,,,,,
Sinistcha,71,held_item,10,Coba Berry,0.9%,,,,,,,,
Sinistcha,71,teammate,1,Garchomp,,,,,,,,,
Sinistcha,71,teammate,2,Raichu,,,,,,,,,
Sinistcha,71,teammate,3,Staraptor,,,,,,,,,
Sinistcha,71,teammate,4,Metagross,,,,,,,,,
Sinistcha,71,teammate,5,Mimikyu,,,,,,,,,
Sinistcha,71,teammate,6,Archaludon,,,,,,,,,
Sinistcha,71,teammate,7,Mawile,,,,,,,,,
Sinistcha,71,teammate,8,Blaziken,,,,,,,,,
Sinistcha,71,teammate,9,Swampert,,,,,,,,,
Sinistcha,71,teammate,10,Basculegion Male,,,,,,,,,
Sinistcha,71,stat_alignment,1,Bold,72.4%,Defense,Attack,,,,,,
Sinistcha,71,stat_alignment,2,Modest,11.2%,Sp. Atk,Attack,,,,,,
Sinistcha,71,stat_alignment,3,Calm,9.3%,Sp. Def,Attack,,,,,,
Sinistcha,71,stat_alignment,4,Relaxed,2.0%,Defense,Speed,,,,,,
Sinistcha,71,stat_alignment,5,Quiet,1.9%,Sp. Atk,Speed,,,,,,
Sinistcha,71,stat_alignment,6,Timid,1.5%,Speed,Attack,,,,,,
Sinistcha,71,stat_alignment,7,Sassy,0.9%,Sp. Def,Speed,,,,,,
Sinistcha,71,stat_alignment,8,Mild,0.2%,Sp. Atk,Defense,,,,,,
Sinistcha,71,stat_alignment,9,Impish,0.2%,Defense,Sp. Atk,,,,,,
Sinistcha,71,stat_alignment,10,Lonely,0.1%,Attack,Defense,,,,,,
Sinistcha,71,stat_points,1,,28.6%,,,32,0,32,0,2,0
Sinistcha,71,stat_points,2,,10.6%,,,32,0,32,2,0,0
Sinistcha,71,stat_points,3,,6.2%,,,31,0,32,0,3,0
Sinistcha,71,stat_points,4,,3.3%,,,32,0,32,0,0,2
Sinistcha,71,stat_points,5,,2.9%,,,32,0,2,0,32,0
Sinistcha,71,stat_points,6,,2.2%,,,32,0,32,0,0,0
Sinistcha,71,stat_points,7,,2.1%,,,32,0,2,32,0,0
Sinistcha,71,stat_points,8,,2.1%,,,3,0,32,3,0,0
Sinistcha,71,stat_points,9,,1.6%,,,32,0,14,0,20,0
Sinistcha,71,stat_points,10,,1.4%,,,32,0,0,32,2,0
Sinistcha,71,ability,1,Heatproof,93.2%,,,,,,,,
Sinistcha,71,ability,2,Hospitality,6.8%,,,,,,,,
