pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Skarmory,62,move,1,Roost,76.6%,,,,,,,,
Skarmory,62,move,2,Stealth Rock,66.1%,,,,,,,,
Skarmory,62,move,3,Body Press,48.5%,,,,,,,,
Skarmory,62,move,4,Whirlwind,43.7%,,,,,,,,
Skarmory,62,move,5,Iron Defense,35.8%,,,,,,,,
Skarmory,62,move,6,Brave Bird,25.4%,,,,,,,,
Skarmory,62,move,7,Spikes,22.6%,,,,,,,,
Skarmory,62,move,8,Iron Head,20.6%,,,,,,,,
Skarmory,62,move,9,Swords Dance,17.2%,,,,,,,,
Skarmory,62,move,10,Drill Run,16.1%,,,,,,,,
Skarmory,62,held_item,1,Sitrus Berry,37.3%,,,,,,,,
Skarmory,62,held_item,2,Leftovers,27.8%,,,,,,,,
Skarmory,62,held_item,3,Skarmorite,19.8%,,,,,,,,
Skarmory,62,held_item,4,Mental Herb,6.4%,,,,,,,,
Skarmory,62,held_item,5,Bright Powder,2.1%,,,,,,,,
Skarmory,62,held_item,6,Lum Berry,1.7%,,,,,,,,
Skarmory,62,held_item,7,Quick Claw,0.8%,,,,,,,,
Skarmory,62,held_item,8,Black Belt,0.6%,,,,,,,,
Skarmory,62,held_item,9,Occa Berry,0.4%,,,,,,,,
Skarmory,62,held_item,10,White Herb,0.3%,,,,,,,,
Skarmory,62,teammate,1,Dragalge,,,,,,,,,
Skarmory,62,teammate,2,Garchomp,,,,,,,,,
Skarmory,62,teammate,3,Meowscarada,,,,,,,,,
Skarmory,62,teammate,4,Blaziken,,,,,,,,,
Skarmory,62,teammate,6,Raichu,,,,,,,,,
Skarmory,62,teammate,7,Archaludon,,,,,,,,,
Skarmory,62,teammate,8,Alolan Ninetales,,,,,,,,,
Skarmory,62,teammate,9,Mimikyu,,,,,,,,,
Skarmory,62,teammate,10,Swampert,,,,,,,,,
Skarmory,62,stat_alignment,1,Impish,57.6%,Defense,Sp. Atk,,,,,,
Skarmory,62,stat_alignment,2,Jolly,13.8%,Speed,Sp. Atk,,,,,,
Skarmory,62,stat_alignment,3,Bold,9.0%,Defense,Attack,,,,,,
Skarmory,62,stat_alignment,4,Adamant,8.5%,Attack,Sp. Atk,,,,,,
Skarmory,62,stat_alignment,5,Careful,6.6%,Sp. Def,Sp. Atk,,,,,,
Skarmory,62,stat_alignment,6,Relaxed,1.7%,Defense,Speed,,,,,,
Skarmory,62,stat_alignment,7,Calm,1.4%,Sp. Def,Attack,,,,,,
Skarmory,62,stat_alignment,8,Sassy,0.2%,Sp. Def,Speed,,,,,,
Skarmory,62,stat_alignment,9,Lax,0.2%,Defense,Sp. Def,,,,,,
Skarmory,62,stat_alignment,10,Naughty,0.2%,Attack,Sp. Def,,,,,,
Skarmory,62,stat_points,1,,30.0%,,,32,0,32,0,2,0
Skarmory,62,stat_points,2,,13.2%,,,32,0,32,0,0,2
Skarmory,62,stat_points,3,,5.2%,,,32,0,2,0,32,0
Skarmory,62,stat_points,4,,4.8%,,,31,0,32,0,3,0
Skarmory,62,stat_points,5,,3.7%,,,2,32,0,0,0,32
Skarmory,62,stat_points,6,,2.5%,,,32,2,32,0,0,0
Skarmory,62,stat_points,7,,2.5%,,,32,0,32,0,0,0
Skarmory,62,stat_points,8,,1.9%,,,31,0,32,0,0,3
Skarmory,62,stat_points,9,,1.6%,,,1,32,1,0,0,32
Skarmory,62,stat_points,10,,1.2%,,,32,0,32,0,1,1
Skarmory,62,stat_points,11,,0.8%,,,32,0,9,0,0,25
Skarmory,62,stat_points,12,,0.7%,,,1,32,0,0,1,32
Skarmory,62,ability,1,Sturdy,84.7%,,,,,,,,
Skarmory,62,ability,2,Weak Armor,13.5%,,,,,,,,
Skarmory,62,ability,3,Keen Eye,1.8%,,,,,,,,
