pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Slowbro,85,move,1,Slack Off,84.6%,,,,,,,,
Slowbro,85,move,2,Scald,81.4%,,,,,,,,
Slowbro,85,move,3,Iron Defense,48.6%,,,,,,,,
Slowbro,85,move,4,Body Press,35.8%,,,,,,,,
Slowbro,85,move,5,Calm Mind,25.1%,,,,,,,,
Slowbro,85,move,6,Ice Beam,22.6%,,,,,,,,
Slowbro,85,move,7,Psychic,14.3%,,,,,,,,
Slowbro,85,move,8,Flamethrower,12.7%,,,,,,,,
Slowbro,85,move,9,Yawn,11.4%,,,,,,,,
Slowbro,85,move,10,Trick Room,8.3%,,,,,,,,
Slowbro,85,held_item,1,Slowbronite,61.8%,,,,,,,,
Slowbro,85,held_item,2,Leftovers,15.3%,,,,,,,,
Slowbro,85,held_item,3,Sitrus Berry,9.9%,,,,,,,,
Slowbro,85,held_item,4,Life Orb,1.7%,,,,,,,,
Slowbro,85,held_item,5,Bright Powder,1.5%,,,,,,,,
Slowbro,85,held_item,6,Kasib Berry,1.4%,,,,,,,,
Slowbro,85,held_item,7,Expert Belt,1.4%,,,,,,,,
Slowbro,85,held_item,8,Lum Berry,1.1%,,,,,,,,
Slowbro,85,held_item,9,Quick Claw,1.0%,,,,,,,,
Slowbro,85,held_item,10,Wacan Berry,0.4%,,,,,,,,
Slowbro,85,teammate,1,Garchomp,,,,,,,,,
Slowbro,85,teammate,2,Dragalge,,,,,,,,,
Slowbro,85,teammate,3,Corviknight,,,,,,,,,
Slowbro,85,teammate,4,Meowscarada,,,,,,,,,
Slowbro,85,teammate,5,Toxapex,,,,,,,,,
Slowbro,85,teammate,6,Mimikyu,,,,,,,,,
Slowbro,85,teammate,7,Snorlax,,,,,,,,,
Slowbro,85,teammate,8,Raichu,,,,,,,,,
Slowbro,85,teammate,9,Archaludon,,,,,,,,,
Slowbro,85,teammate,10,Tyranitar,,,,,,,,,
Slowbro,85,stat_alignment,1,Bold,67.4%,Defense,Attack,,,,,,
Slowbro,85,stat_alignment,2,Calm,11.5%,Sp. Def,Attack,,,,,,
Slowbro,85,stat_alignment,3,Modest,9.1%,Sp. Atk,Attack,,,,,,
Slowbro,85,stat_alignment,4,Relaxed,6.7%,Defense,Speed,,,,,,
Slowbro,85,stat_alignment,5,Quiet,3.0%,Sp. Atk,Speed,,,,,,
Slowbro,85,stat_alignment,6,Sassy,1.4%,Sp. Def,Speed,,,,,,
Slowbro,85,stat_alignment,7,Timid,0.4%,Speed,Attack,,,,,,
Slowbro,85,stat_alignment,8,Impish,0.3%,Defense,Sp. Atk,,,,,,
Slowbro,85,stat_alignment,9,Mild,0.2%,Sp. Atk,Defense,,,,,,
Slowbro,85,stat_alignment,10,Careful,0.1%,Sp. Def,Sp. Atk,,,,,,
Slowbro,85,stat_points,1,,28.5%,,,32,0,32,0,2,0
Slowbro,85,stat_points,2,,11.3%,,,32,0,32,2,0,0
Slowbro,85,stat_points,3,,6.7%,,,31,0,32,0,3,0
Slowbro,85,stat_points,4,,6.2%,,,32,0,2,0,32,0
Slowbro,85,stat_points,5,,3.2%,,,31,0,32,3,0,0
Slowbro,85,stat_points,6,,2.6%,,,32,0,2,32,0,0
Slowbro,85,stat_points,7,,1.8%,,,32,0,32,0,0,0
Slowbro,85,stat_points,8,,1.6%,,,32,0,0,32,2,0
Slowbro,85,stat_points,9,,1.3%,,,2,0,32,0,32,0
Slowbro,85,stat_points,10,,1.2%,,,31,0,32,1,2,0
Slowbro,85,stat_points,11,,1.1%,,,31,0,3,0,32,0
Slowbro,85,stat_points,12,,1.0%,,,2,0,32,32,0,0
Slowbro,85,ability,1,Regenerator,90.4%,,,,,,,,
Slowbro,85,ability,2,Oblivious,8.2%,,,,,,,,
Slowbro,85,ability,3,Own Tempo,1.4%,,,,,,,,
