pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Slurpuff,150,move,1,Sticky Web,89.2%,,,,,,,,
Slurpuff,150,move,2,Yawn,72.9%,,,,,,,,
Slurpuff,150,move,3,Endeavor,60.0%,,,,,,,,
Slurpuff,150,move,4,Misty Explosion,40.1%,,,,,,,,
Slurpuff,150,move,5,Dazzling Gleam,30.1%,,,,,,,,
Slurpuff,150,move,6,Flamethrower,14.1%,,,,,,,,
Slurpuff,150,move,7,Draining Kiss,13.9%,,,,,,,,
Slurpuff,150,move,8,Calm Mind,11.4%,,,,,,,,
Slurpuff,150,move,9,Cotton Guard,9.4%,,,,,,,,
Slurpuff,150,move,10,Thunderbolt,6.9%,,,,,,,,
Slurpuff,150,held_item,1,Sitrus Berry,43.5%,,,,,,,,
Slurpuff,150,held_item,2,Focus Sash,38.7%,,,,,,,,
Slurpuff,150,held_item,3,Oran Berry,5.3%,,,,,,,,
Slurpuff,150,held_item,4,Mental Herb,3.1%,,,,,,,,
Slurpuff,150,held_item,5,Leftovers,1.6%,,,,,,,,
Slurpuff,150,held_item,6,Chesto Berry,1.4%,,,,,,,,
Slurpuff,150,held_item,7,Life Orb,1.2%,,,,,,,,
Slurpuff,150,held_item,8,Quick Claw,1.1%,,,,,,,,
Slurpuff,150,held_item,9,Babiri Berry,1.0%,,,,,,,,
Slurpuff,150,held_item,10,Lum Berry,1.0%,,,,,,,,
Slurpuff,150,teammate,1,Raichu,,,,,,,,,
Slurpuff,150,teammate,2,Garchomp,,,,,,,,,
Slurpuff,150,teammate,3,Staraptor,,,,,,,,,
Slurpuff,150,teammate,4,Metagross,,,,,,,,,
Slurpuff,150,teammate,5,Mimikyu,,,,,,,,,
Slurpuff,150,teammate,6,Meowscarada,,,,,,,,,
Slurpuff,150,teammate,7,Archaludon,,,,,,,,,
Slurpuff,150,teammate,8,Corviknight,,,,,,,,,
Slurpuff,150,teammate,9,Basculegion Male,,,,,,,,,
Slurpuff,150,teammate,10,Gyarados,,,,,,,,,
Slurpuff,150,stat_alignment,1,Timid,36.0%,Speed,Attack,,,,,,
Slurpuff,150,stat_alignment,2,Bold,22.8%,Defense,Attack,,,,,,
Slurpuff,150,stat_alignment,3,Modest,15.1%,Sp. Atk,Attack,,,,,,
Slurpuff,150,stat_alignment,4,Calm,12.6%,Sp. Def,Attack,,,,,,
Slurpuff,150,stat_alignment,5,Hasty,7.2%,Speed,Defense,,,,,,
Slurpuff,150,stat_alignment,6,Naive,1.6%,Speed,Sp. Def,,,,,,
Slurpuff,150,stat_alignment,7,Mild,1.1%,Sp. Atk,Defense,,,,,,
Slurpuff,150,stat_alignment,8,Jolly,1.1%,Speed,Sp. Atk,,,,,,
Slurpuff,150,stat_alignment,9,Impish,0.8%,Defense,Sp. Atk,,,,,,
Slurpuff,150,stat_alignment,10,Relaxed,0.3%,Defense,Speed,,,,,,
Slurpuff,150,stat_points,1,,20.1%,,,2,0,0,32,0,32
Slurpuff,150,stat_points,2,,8.7%,,,0,0,0,32,0,32
Slurpuff,150,stat_points,3,,4.4%,,,0,0,0,32,2,32
Slurpuff,150,stat_points,4,,3.0%,,,32,0,32,0,2,0
Slurpuff,150,stat_points,5,,2.5%,,,0,2,0,32,0,32
Slurpuff,150,stat_points,6,,2.2%,,,32,0,0,0,23,11
Slurpuff,150,stat_points,7,,2.2%,,,32,0,2,0,0,32
Slurpuff,150,stat_points,8,,2.0%,,,0,0,2,32,0,32
Slurpuff,150,stat_points,9,,2.0%,,,32,0,0,0,19,15
Slurpuff,150,stat_points,10,,1.8%,,,32,0,0,2,0,32
Slurpuff,150,stat_points,11,,1.6%,,,32,0,0,32,2,0
Slurpuff,150,stat_points,12,,1.4%,,,32,0,0,0,2,32
Slurpuff,150,ability,1,Unburden,89.0%,,,,,,,,
Slurpuff,150,ability,2,Sweet Veil,11.0%,,,,,,,,
