pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Sneasler,42,move,1,Dire Claw,96.8%,,,,,,,,
Sneasler,42,move,2,Close Combat,96.5%,,,,,,,,
Sneasler,42,move,3,Fake Out,53.4%,,,,,,,,
Sneasler,42,move,4,Throat Chop,36.0%,,,,,,,,
Sneasler,42,move,5,Swords Dance,23.2%,,,,,,,,
Sneasler,42,move,6,U-turn,17.7%,,,,,,,,
Sneasler,42,move,7,Acrobatics,14.5%,,,,,,,,
Sneasler,42,move,8,Shadow Claw,9.4%,,,,,,,,
Sneasler,42,move,9,Rock Slide,6.5%,,,,,,,,
Sneasler,42,move,10,Protect,6.2%,,,,,,,,
Sneasler,42,held_item,1,White Herb,50.2%,,,,,,,,
Sneasler,42,held_item,2,Focus Sash,27.6%,,,,,,,,
Sneasler,42,held_item,3,Sitrus Berry,9.3%,,,,,,,,
Sneasler,42,held_item,4,Choice Scarf,3.2%,,,,,,,,
Sneasler,42,held_item,5,Life Orb,3.0%,,,,,,,,
Sneasler,42,held_item,6,King's Rock,1.1%,,,,,,,,
Sneasler,42,held_item,7,Quick Claw,0.9%,,,,,,,,
Sneasler,42,held_item,8,Muscle Band,0.5%,,,,,,,,
Sneasler,42,held_item,9,Lum Berry,0.4%,,,,,,,,
Sneasler,42,held_item,10,Light Ball,0.4%,,,,,,,,
Sneasler,42,teammate,1,Garchomp,,,,,,,,,
Sneasler,42,teammate,2,Raichu,,,,,,,,,
Sneasler,42,teammate,3,Meowscarada,,,,,,,,,
Sneasler,42,teammate,4,Charizard,,,,,,,,,
Sneasler,42,teammate,5,Basculegion Male,,,,,,,,,
Sneasler,42,teammate,6,Archaludon,,,,,,,,,
Sneasler,42,teammate,7,Mimikyu,,,,,,,,,
Sneasler,42,teammate,8,Staraptor,,,,,,,,,
Sneasler,42,teammate,9,Metagross,,,,,,,,,
Sneasler,42,teammate,10,Dragonite,,,,,,,,,
Sneasler,42,stat_alignment,1,Adamant,54.0%,Attack,Sp. Atk,,,,,,
Sneasler,42,stat_alignment,2,Jolly,36.1%,Speed,Sp. Atk,,,,,,
Sneasler,42,stat_alignment,3,Impish,3.6%,Defense,Sp. Atk,,,,,,
Sneasler,42,stat_alignment,4,Naughty,1.8%,Attack,Sp. Def,,,,,,
Sneasler,42,stat_alignment,5,Lonely,1.4%,Attack,Defense,,,,,,
Sneasler,42,stat_alignment,6,Naive,1.1%,Speed,Sp. Def,,,,,,
Sneasler,42,stat_alignment,7,Hasty,1.1%,Speed,Defense,,,,,,
Sneasler,42,stat_alignment,8,Brave,0.2%,Attack,Speed,,,,,,
Sneasler,42,stat_alignment,9,Careful,0.2%,Sp. Def,Sp. Atk,,,,,,
Sneasler,42,stat_alignment,10,Lax,0.1%,Defense,Sp. Def,,,,,,
Sneasler,42,stat_points,1,,31.5%,,,2,32,0,0,0,32
Sneasler,42,stat_points,2,,10.5%,,,0,32,2,0,0,32
Sneasler,42,stat_points,3,,8.7%,,,0,32,0,0,2,32
Sneasler,42,stat_points,4,,3.4%,,,0,32,0,0,0,32
Sneasler,42,stat_points,5,,1.8%,,,32,0,32,0,2,0
Sneasler,42,stat_points,6,,1.4%,,,32,32,0,0,0,2
Sneasler,42,stat_points,7,,1.2%,,,32,32,2,0,0,0
Sneasler,42,stat_points,8,,0.9%,,,29,32,0,0,0,5
Sneasler,42,stat_points,9,,0.9%,,,0,32,1,0,1,32
Sneasler,42,stat_points,10,,0.9%,,,4,32,0,0,0,30
Sneasler,42,stat_points,11,,0.8%,,,31,10,20,0,1,4
Sneasler,42,ability,1,Unburden,78.4%,,,,,,,,
Sneasler,42,ability,2,Poison Touch,20.6%,,,,,,,,
Sneasler,42,ability,3,Pressure,1.0%,,,,,,,,
