pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Snorlax,67,move,1,Earthquake,62.1%,,,,,,,,
Snorlax,67,move,2,Yawn,46.5%,,,,,,,,
Snorlax,67,move,3,Ice Punch,34.7%,,,,,,,,
Snorlax,67,move,4,Fissure,29.1%,,,,,,,,
Snorlax,67,move,5,Rest,27.7%,,,,,,,,
Snorlax,67,move,6,Body Slam,26.9%,,,,,,,,
Snorlax,67,move,7,Self-Destruct,18.1%,,,,,,,,
Snorlax,67,move,8,Heat Crash,13.8%,,,,,,,,
Snorlax,67,move,9,Protect,13.6%,,,,,,,,
Snorlax,67,move,10,Curse,12.2%,,,,,,,,
Snorlax,67,held_item,1,Leftovers,42.1%,,,,,,,,
Snorlax,67,held_item,2,Sitrus Berry,16.0%,,,,,,,,
Snorlax,67,held_item,3,Chople Berry,14.1%,,,,,,,,
Snorlax,67,held_item,4,Chesto Berry,11.3%,,,,,,,,
Snorlax,67,held_item,5,Lum Berry,5.9%,,,,,,,,
Snorlax,67,held_item,6,Quick Claw,4.9%,,,,,,,,
Snorlax,67,held_item,7,Silk Scarf,1.3%,,,,,,,,
Snorlax,67,held_item,8,Expert Belt,1.0%,,,,,,,,
Snorlax,67,held_item,9,Life Orb,0.9%,,,,,,,,
Snorlax,67,held_item,10,Bright Powder,0.3%,,,,,,,,
Snorlax,67,teammate,1,Garchomp,,,,,,,,,
Snorlax,67,teammate,2,Raichu,,,,,,,,,
Snorlax,67,teammate,3,Staraptor,,,,,,,,,
Snorlax,67,teammate,4,Mimikyu,,,,,,,,,
Snorlax,67,teammate,5,Archaludon,,,,,,,,,
Snorlax,67,teammate,6,Dragonite,,,,,,,,,
Snorlax,67,teammate,7,Meowscarada,,,,,,,,,
Snorlax,67,teammate,8,Charizard,,,,,,,,,
Snorlax,67,teammate,9,Metagross,,,,,,,,,
Snorlax,67,teammate,10,Corviknight,,,,,,,,,
Snorlax,67,stat_alignment,1,Careful,43.8%,Sp. Def,Sp. Atk,,,,,,
Snorlax,67,stat_alignment,2,Adamant,25.2%,Attack,Sp. Atk,,,,,,
Snorlax,67,stat_alignment,3,Impish,17.7%,Defense,Sp. Atk,,,,,,
Snorlax,67,stat_alignment,4,Brave,4.1%,Attack,Speed,,,,,,
Snorlax,67,stat_alignment,5,Sassy,3.7%,Sp. Def,Speed,,,,,,
Snorlax,67,stat_alignment,6,Relaxed,3.6%,Defense,Speed,,,,,,
Snorlax,67,stat_alignment,7,Bold,0.5%,Defense,Attack,,,,,,
Snorlax,67,stat_alignment,8,Calm,0.4%,Sp. Def,Attack,,,,,,
Snorlax,67,stat_alignment,9,Lonely,0.3%,Attack,Defense,,,,,,
Snorlax,67,stat_alignment,10,Naughty,0.1%,Attack,Sp. Def,,,,,,
Snorlax,67,stat_points,1,,15.0%,,,32,0,2,0,32,0
Snorlax,67,stat_points,2,,8.7%,,,32,0,32,0,2,0
Snorlax,67,stat_points,3,,7.4%,,,2,32,32,0,0,0
Snorlax,67,stat_points,4,,7.3%,,,2,32,0,0,32,0
Snorlax,67,stat_points,5,,6.1%,,,32,2,0,0,32,0
Snorlax,67,stat_points,6,,5.8%,,,0,32,32,0,2,0
Snorlax,67,stat_points,7,,2.6%,,,22,0,32,0,12,0
Snorlax,67,stat_points,8,,2.6%,,,32,32,2,0,0,0
Snorlax,67,stat_points,9,,2.5%,,,32,32,0,0,2,0
Snorlax,67,stat_points,10,,2.3%,,,2,0,32,0,32,0
Snorlax,67,ability,1,Thick Fat,90.4%,,,,,,,,
Snorlax,67,ability,2,Immunity,8.0%,,,,,,,,
Snorlax,67,ability,3,Gluttony,1.6%,,,,,,,,
