pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Spiritomb,147,move,1,Trick Room,54.4%,,,,,,,,
Spiritomb,147,move,2,Will-O-Wisp,51.0%,,,,,,,,
Spiritomb,147,move,3,Foul Play,49.9%,,,,,,,,
Spiritomb,147,move,4,Curse,35.9%,,,,,,,,
Spiritomb,147,move,5,Destiny Bond,34.3%,,,,,,,,
Spiritomb,147,move,6,Memento,32.2%,,,,,,,,
Spiritomb,147,move,7,Pain Split,25.3%,,,,,,,,
Spiritomb,147,move,8,Sucker Punch,16.8%,,,,,,,,
Spiritomb,147,move,9,Poltergeist,13.4%,,,,,,,,
Spiritomb,147,move,10,Shadow Sneak,12.3%,,,,,,,,
Spiritomb,147,held_item,1,Sitrus Berry,26.3%,,,,,,,,
Spiritomb,147,held_item,2,Leftovers,20.4%,,,,,,,,
Spiritomb,147,held_item,3,Mental Herb,17.9%,,,,,,,,
Spiritomb,147,held_item,4,Roseli Berry,7.6%,,,,,,,,
Spiritomb,147,held_item,5,Focus Sash,6.4%,,,,,,,,
Spiritomb,147,held_item,6,Lum Berry,3.5%,,,,,,,,
Spiritomb,147,held_item,7,Zoom Lens,3.4%,,,,,,,,
Spiritomb,147,held_item,8,Quick Claw,2.8%,,,,,,,,
Spiritomb,147,held_item,9,Bright Powder,2.0%,,,,,,,,
Spiritomb,147,held_item,10,Life Orb,1.3%,,,,,,,,
Spiritomb,147,teammate,1,Garchomp,,,,,,,,,
Spiritomb,147,teammate,2,Mawile,,,,,,,,,
Spiritomb,147,teammate,3,Staraptor,,,,,,,,,
Spiritomb,147,teammate,4,Meowscarada,,,,,,,,,
Spiritomb,147,teammate,5,Raichu,,,,,,,,,
Spiritomb,147,teammate,6,Metagross,,,,,,,,,
Spiritomb,147,teammate,7,Kleavor,,,,,,,,,
Spiritomb,147,teammate,8,Milotic,,,,,,,,,
Spiritomb,147,teammate,9,Mimikyu,,,,,,,,,
Spiritomb,147,teammate,10,Charizard,,,,,,,,,
Spiritomb,147,stat_alignment,1,Relaxed,37.1%,Defense,Speed,,,,,,
Spiritomb,147,stat_alignment,2,Sassy,14.4%,Sp. Def,Speed,,,,,,
Spiritomb,147,stat_alignment,3,Impish,12.9%,Defense,Sp. Atk,,,,,,
Spiritomb,147,stat_alignment,4,Bold,9.4%,Defense,Attack,,,,,,
Spiritomb,147,stat_alignment,5,Brave,5.8%,Attack,Speed,,,,,,
Spiritomb,147,stat_alignment,6,Careful,5.7%,Sp. Def,Sp. Atk,,,,,,
Spiritomb,147,stat_alignment,7,Adamant,5.1%,Attack,Sp. Atk,,,,,,
Spiritomb,147,stat_alignment,8,Calm,4.4%,Sp. Def,Attack,,,,,,
Spiritomb,147,stat_alignment,9,Quiet,1.9%,Sp. Atk,Speed,,,,,,
Spiritomb,147,stat_alignment,10,Modest,1.2%,Sp. Atk,Attack,,,,,,
Spiritomb,147,stat_points,1,,21.5%,,,32,0,32,0,2,0
Spiritomb,147,stat_points,2,,8.5%,,,31,0,13,0,22,0
Spiritomb,147,stat_points,3,,7.4%,,,32,0,2,0,32,0
Spiritomb,147,stat_points,4,,6.5%,,,2,0,32,0,32,0
Spiritomb,147,stat_points,5,,4.0%,,,32,0,12,0,22,0
Spiritomb,147,stat_points,6,,2.9%,,,31,0,11,0,24,0
Spiritomb,147,stat_points,7,,2.2%,,,32,0,32,0,0,0
Spiritomb,147,stat_points,8,,1.9%,,,0,32,2,0,32,0
Spiritomb,147,stat_points,9,,1.7%,,,32,0,22,0,12,0
Spiritomb,147,stat_points,10,,1.7%,,,32,32,2,0,0,0
Spiritomb,147,stat_points,11,,1.6%,,,32,32,0,0,2,0
Spiritomb,147,stat_points,12,,1.5%,,,31,0,32,0,3,0
Spiritomb,147,ability,1,Infiltrator,64.5%,,,,,,,,
Spiritomb,147,ability,2,Pressure,35.5%,,,,,,,,
