pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Starmie,36,move,1,Liquidation,87.8%,,,,,,,,
Starmie,36,move,2,Aqua Jet,87.3%,,,,,,,,
Starmie,36,move,3,Ice Spinner,69.1%,,,,,,,,
Starmie,36,move,4,Flip Turn,56.5%,,,,,,,,
Starmie,36,move,5,Zen Headbutt,30.4%,,,,,,,,
Starmie,36,move,6,Psycho Cut,24.3%,,,,,,,,
Starmie,36,move,7,Thunderbolt,7.0%,,,,,,,,
Starmie,36,move,8,Ice Beam,4.2%,,,,,,,,
Starmie,36,move,9,Rapid Spin,3.7%,,,,,,,,
Starmie,36,move,10,Bulk Up,3.5%,,,,,,,,
Starmie,36,held_item,1,Starminite,94.9%,,,,,,,,
Starmie,36,held_item,2,Focus Sash,1.1%,,,,,,,,
Starmie,36,held_item,3,Life Orb,0.9%,,,,,,,,
Starmie,36,held_item,4,Choice Scarf,0.6%,,,,,,,,
Starmie,36,held_item,5,Expert Belt,0.5%,,,,,,,,
Starmie,36,held_item,6,Leftovers,0.4%,,,,,,,,
Starmie,36,held_item,7,Bright Powder,0.3%,,,,,,,,
Starmie,36,held_item,8,Sitrus Berry,0.2%,,,,,,,,
Starmie,36,held_item,9,Wise Glasses,0.1%,,,,,,,,
Starmie,36,held_item,10,Light Clay,0.1%,,,,,,,,
Starmie,36,teammate,1,Garchomp,,,,,,,,,
Starmie,36,teammate,2,Archaludon,,,,,,,,,
Starmie,36,teammate,3,Meowscarada,,,,,,,,,
Starmie,36,teammate,4,Corviknight,,,,,,,,,
Starmie,36,teammate,5,Mimikyu,,,,,,,,,
Starmie,36,teammate,6,Raichu,,,,,,,,,
Starmie,36,teammate,7,Hippowdon,,,,,,,,,
Starmie,36,teammate,8,Glimmora,,,,,,,,,
Starmie,36,teammate,9,Charizard,,,,,,,,,
Starmie,36,teammate,10,Bellibolt,,,,,,,,,
Starmie,36,stat_alignment,1,Adamant,64.4%,Attack,Sp. Atk,,,,,,
Starmie,36,stat_alignment,2,Jolly,25.6%,Speed,Sp. Atk,,,,,,
Starmie,36,stat_alignment,3,Timid,3.4%,Speed,Attack,,,,,,
Starmie,36,stat_alignment,4,Naive,3.4%,Speed,Sp. Def,,,,,,
Starmie,36,stat_alignment,5,Modest,1.5%,Sp. Atk,Attack,,,,,,
Starmie,36,stat_alignment,6,Naughty,0.5%,Attack,Sp. Def,,,,,,
Starmie,36,stat_alignment,7,Hasty,0.3%,Speed,Defense,,,,,,
Starmie,36,stat_alignment,8,Bold,0.2%,Defense,Attack,,,,,,
Starmie,36,stat_alignment,9,Lonely,0.1%,Attack,Defense,,,,,,
Starmie,36,stat_alignment,10,Impish,0.1%,Defense,Sp. Atk,,,,,,
Starmie,36,stat_points,1,,72.3%,,,2,32,0,0,0,32
Starmie,36,stat_points,2,,3.0%,,,2,0,0,32,0,32
Starmie,36,stat_points,3,,2.4%,,,0,32,0,19,0,15
Starmie,36,stat_points,4,,1.7%,,,0,32,2,0,0,32
Starmie,36,stat_points,5,,1.1%,,,32,32,0,0,0,2
Starmie,36,stat_points,6,,1.1%,,,32,14,0,0,20,0
Starmie,36,stat_points,7,,1.1%,,,4,32,0,0,0,30
Starmie,36,stat_points,8,,0.8%,,,0,32,0,0,0,32
Starmie,36,stat_points,9,,0.8%,,,0,32,1,0,1,32
Starmie,36,stat_points,10,,0.7%,,,0,32,0,0,2,32
Starmie,36,ability,1,Natural Cure,91.6%,,,,,,,,
Starmie,36,ability,2,Analytic,4.8%,,,,,,,,
Starmie,36,ability,3,Illuminate,3.6%,,,,,,,,
