pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Steelix,133,move,1,Earthquake,82.0%,,,,,,,,
Steelix,133,move,2,Body Press,73.7%,,,,,,,,
Steelix,133,move,3,Heavy Slam,63.3%,,,,,,,,
Steelix,133,move,4,Stealth Rock,58.1%,,,,,,,,
Steelix,133,move,5,Iron Defense,21.8%,,,,,,,,
Steelix,133,move,6,Dragon Tail,17.1%,,,,,,,,
Steelix,133,move,7,Gyro Ball,10.2%,,,,,,,,
Steelix,133,move,8,Iron Head,6.4%,,,,,,,,
Steelix,133,move,9,Curse,5.8%,,,,,,,,
Steelix,133,move,10,Ice Fang,5.5%,,,,,,,,
Steelix,133,held_item,1,Leftovers,33.0%,,,,,,,,
Steelix,133,held_item,2,Steelixite,25.5%,,,,,,,,
Steelix,133,held_item,3,Quick Claw,14.6%,,,,,,,,
Steelix,133,held_item,4,Sitrus Berry,11.3%,,,,,,,,
Steelix,133,held_item,5,Lum Berry,2.5%,,,,,,,,
Steelix,133,held_item,6,Bright Powder,2.0%,,,,,,,,
Steelix,133,held_item,7,Life Orb,1.6%,,,,,,,,
Steelix,133,held_item,8,Iron Ball,0.8%,,,,,,,,
Steelix,133,held_item,9,Chople Berry,0.8%,,,,,,,,
Steelix,133,held_item,10,Focus Band,0.7%,,,,,,,,
Steelix,133,teammate,1,Charizard,,,,,,,,,
Steelix,133,teammate,2,Gengar,,,,,,,,,
Steelix,133,teammate,3,Dragonite,,,,,,,,,
Steelix,133,teammate,4,Raichu,,,,,,,,,
Steelix,133,teammate,5,Azumarill,,,,,,,,,
Steelix,133,teammate,6,Meowscarada,,,,,,,,,
Steelix,133,teammate,7,Garchomp,,,,,,,,,
Steelix,133,teammate,8,Staraptor,,,,,,,,,
Steelix,133,teammate,9,Whimsicott,,,,,,,,,
Steelix,133,teammate,10,Basculegion Male,,,,,,,,,
Steelix,133,stat_alignment,1,Adamant,49.8%,Attack,Sp. Atk,,,,,,
Steelix,133,stat_alignment,2,Impish,22.9%,Defense,Sp. Atk,,,,,,
Steelix,133,stat_alignment,3,Relaxed,8.9%,Defense,Speed,,,,,,
Steelix,133,stat_alignment,4,Brave,8.0%,Attack,Speed,,,,,,
Steelix,133,stat_alignment,5,Careful,5.8%,Sp. Def,Sp. Atk,,,,,,
Steelix,133,stat_alignment,6,Sassy,2.4%,Sp. Def,Speed,,,,,,
Steelix,133,stat_alignment,7,Naughty,0.8%,Attack,Sp. Def,,,,,,
Steelix,133,stat_alignment,8,Jolly,0.5%,Speed,Sp. Atk,,,,,,
Steelix,133,stat_alignment,9,Bold,0.2%,Defense,Attack,,,,,,
Steelix,133,stat_alignment,10,Lax,0.2%,Defense,Sp. Def,,,,,,
Steelix,133,stat_points,1,,36.6%,,,32,32,0,0,0,2
Steelix,133,stat_points,2,,10.3%,,,32,0,32,0,2,0
Steelix,133,stat_points,3,,6.6%,,,32,32,2,0,0,0
Steelix,133,stat_points,4,,6.1%,,,32,2,32,0,0,0
Steelix,133,stat_points,5,,6.1%,,,32,32,0,0,2,0
Steelix,133,stat_points,6,,3.8%,,,2,32,32,0,0,0
Steelix,133,stat_points,7,,3.5%,,,32,0,2,0,32,0
Steelix,133,stat_points,8,,2.5%,,,32,0,32,0,0,2
Steelix,133,stat_points,9,,1.6%,,,32,2,0,0,32,0
Steelix,133,stat_points,10,,1.6%,,,32,0,32,0,0,0
Steelix,133,stat_points,11,,1.2%,,,32,0,28,0,6,0
Steelix,133,stat_points,12,,1.0%,,,32,0,0,0,32,2
Steelix,133,ability,1,Sturdy,88.6%,,,,,,,,
Steelix,133,ability,2,Sheer Force,8.1%,,,,,,,,
Steelix,133,ability,3,Rock Head,3.3%,,,,,,,,
