pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Stunfisk,175,move,1,Stealth Rock,73.3%,,,,,,,,
Stunfisk,175,move,2,Earth Power,68.9%,,,,,,,,
Stunfisk,175,move,3,Yawn,60.2%,,,,,,,,
Stunfisk,175,move,4,Thunderbolt,58.8%,,,,,,,,
Stunfisk,175,move,5,Fissure,31.8%,,,,,,,,
Stunfisk,175,move,6,Discharge,20.4%,,,,,,,,
Stunfisk,175,move,7,Scald,12.1%,,,,,,,,
Stunfisk,175,move,8,Foul Play,11.1%,,,,,,,,
Stunfisk,175,move,9,Sucker Punch,7.9%,,,,,,,,
Stunfisk,175,move,10,Pain Split,6.7%,,,,,,,,
Stunfisk,175,held_item,1,Sitrus Berry,47.0%,,,,,,,,
Stunfisk,175,held_item,2,Leftovers,25.7%,,,,,,,,
Stunfisk,175,held_item,3,Quick Claw,5.9%,,,,,,,,
Stunfisk,175,held_item,4,Focus Sash,4.4%,,,,,,,,
Stunfisk,175,held_item,5,Bright Powder,3.8%,,,,,,,,
Stunfisk,175,held_item,6,Shuca Berry,3.0%,,,,,,,,
Stunfisk,175,held_item,7,Chesto Berry,1.8%,,,,,,,,
Stunfisk,175,held_item,8,Passho Berry,1.7%,,,,,,,,
Stunfisk,175,held_item,9,Expert Belt,1.3%,,,,,,,,
Stunfisk,175,held_item,10,Life Orb,1.3%,,,,,,,,
Stunfisk,175,teammate,1,Meowscarada,,,,,,,,,
Stunfisk,175,teammate,2,Staraptor,,,,,,,,,
Stunfisk,175,teammate,3,Metagross,,,,,,,,,
Stunfisk,175,teammate,4,Gyarados,,,,,,,,,
Stunfisk,175,teammate,5,Alolan Ninetales,,,,,,,,,
Stunfisk,175,teammate,6,Vanilluxe,,,,,,,,,
Stunfisk,175,teammate,7,Skeledirge,,,,,,,,,
Stunfisk,175,teammate,8,Corviknight,,,,,,,,,
Stunfisk,175,teammate,9,Mimikyu,,,,,,,,,
Stunfisk,175,teammate,10,Raichu,,,,,,,,,
Stunfisk,175,stat_alignment,1,Calm,50.2%,Sp. Def,Attack,,,,,,
Stunfisk,175,stat_alignment,2,Bold,14.5%,Defense,Attack,,,,,,
Stunfisk,175,stat_alignment,3,Modest,12.6%,Sp. Atk,Attack,,,,,,
Stunfisk,175,stat_alignment,4,Relaxed,8.0%,Defense,Speed,,,,,,
Stunfisk,175,stat_alignment,5,Sassy,6.2%,Sp. Def,Speed,,,,,,
Stunfisk,175,stat_alignment,6,Quiet,4.9%,Sp. Atk,Speed,,,,,,
Stunfisk,175,stat_alignment,7,Impish,1.3%,Defense,Sp. Atk,,,,,,
Stunfisk,175,stat_alignment,8,Timid,0.9%,Speed,Attack,,,,,,
Stunfisk,175,stat_alignment,9,Mild,0.3%,Sp. Atk,Defense,,,,,,
Stunfisk,175,stat_alignment,10,Careful,0.2%,Sp. Def,Sp. Atk,,,,,,
Stunfisk,175,stat_points,1,,21.3%,,,32,0,2,0,32,0
Stunfisk,175,stat_points,2,,12.0%,,,32,0,32,0,2,0
Stunfisk,175,stat_points,3,,6.4%,,,31,0,3,0,32,0
Stunfisk,175,stat_points,4,,4.6%,,,32,0,0,2,32,0
Stunfisk,175,stat_points,5,,3.7%,,,32,0,0,32,2,0
Stunfisk,175,stat_points,6,,3.6%,,,32,0,2,32,0,0
Stunfisk,175,stat_points,7,,2.3%,,,2,0,0,32,32,0
Stunfisk,175,stat_points,8,,1.8%,,,2,0,32,0,32,0
Stunfisk,175,stat_points,9,,1.5%,,,31,0,32,0,3,0
Stunfisk,175,stat_points,10,,1.3%,,,32,0,32,2,0,0
Stunfisk,175,ability,1,Static,88.8%,,,,,,,,
Stunfisk,175,ability,2,Sand Veil,8.3%,,,,,,,,
Stunfisk,175,ability,3,Limber,2.9%,,,,,,,,
