pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Swampert,12,move,1,Earthquake,93.0%,,,,,,,,
Swampert,12,move,2,Wave Crash,73.9%,,,,,,,,
Swampert,12,move,3,Ice Punch,71.3%,,,,,,,,
Swampert,12,move,4,Flip Turn,64.7%,,,,,,,,
Swampert,12,move,5,Stealth Rock,22.8%,,,,,,,,
Swampert,12,move,6,Yawn,21.4%,,,,,,,,
Swampert,12,move,7,Bulk Up,6.8%,,,,,,,,
Swampert,12,move,8,Knock Off,6.3%,,,,,,,,
Swampert,12,move,9,Substitute,4.7%,,,,,,,,
Swampert,12,move,10,Poison Jab,3.5%,,,,,,,,
Swampert,12,held_item,1,Swampertite,74.4%,,,,,,,,
Swampert,12,held_item,2,Sitrus Berry,13.9%,,,,,,,,
Swampert,12,held_item,3,Leftovers,4.8%,,,,,,,,
Swampert,12,held_item,4,Rindo Berry,3.6%,,,,,,,,
Swampert,12,held_item,5,Focus Sash,1.6%,,,,,,,,
Swampert,12,held_item,6,Lum Berry,0.3%,,,,,,,,
Swampert,12,held_item,7,Life Orb,0.2%,,,,,,,,
Swampert,12,held_item,8,Quick Claw,0.1%,,,,,,,,
Swampert,12,held_item,9,Expert Belt,0.1%,,,,,,,,
Swampert,12,held_item,10,Choice Scarf,0.1%,,,,,,,,
Swampert,12,teammate,1,Pelipper,,,,,,,,,
Swampert,12,teammate,2,Archaludon,,,,,,,,,
Swampert,12,teammate,3,Garchomp,,,,,,,,,
Swampert,12,teammate,4,Mimikyu,,,,,,,,,
Swampert,12,teammate,5,Meowscarada,,,,,,,,,
Swampert,12,teammate,6,Raichu,,,,,,,,,
Swampert,12,teammate,7,Metagross,,,,,,,,,
Swampert,12,teammate,8,Staraptor,,,,,,,,,
Swampert,12,teammate,9,Basculegion Male,,,,,,,,,
Swampert,12,teammate,10,Charizard,,,,,,,,,
Swampert,12,stat_alignment,1,Adamant,58.4%,Attack,Sp. Atk,,,,,,
Swampert,12,stat_alignment,2,Jolly,18.4%,Speed,Sp. Atk,,,,,,
Swampert,12,stat_alignment,3,Impish,8.4%,Defense,Sp. Atk,,,,,,
Swampert,12,stat_alignment,4,Relaxed,7.4%,Defense,Speed,,,,,,
Swampert,12,stat_alignment,5,Careful,2.6%,Sp. Def,Sp. Atk,,,,,,
Swampert,12,stat_alignment,6,Sassy,2.1%,Sp. Def,Speed,,,,,,
Swampert,12,stat_alignment,7,Brave,0.7%,Attack,Speed,,,,,,
Swampert,12,stat_alignment,8,Bold,0.4%,Defense,Attack,,,,,,
Swampert,12,stat_alignment,9,Naughty,0.4%,Attack,Sp. Def,,,,,,
Swampert,12,stat_alignment,10,Lonely,0.3%,Attack,Defense,,,,,,
Swampert,12,stat_points,1,,42.2%,,,2,32,0,0,0,32
Swampert,12,stat_points,2,,8.8%,,,0,32,2,0,0,32
Swampert,12,stat_points,3,,7.4%,,,32,0,32,0,2,0
Swampert,12,stat_points,4,,3.4%,,,0,32,0,0,2,32
Swampert,12,stat_points,5,,3.4%,,,8,32,0,0,0,26
Swampert,12,stat_points,6,,2.2%,,,0,32,1,0,1,32
Swampert,12,stat_points,7,,1.5%,,,32,0,2,0,32,0
Swampert,12,stat_points,8,,1.4%,,,32,0,30,0,4,0
Swampert,12,stat_points,9,,1.4%,,,32,32,0,0,0,2
Swampert,12,stat_points,10,,1.3%,,,32,2,32,0,0,0
Swampert,12,stat_points,11,,1.3%,,,0,32,0,0,0,32
Swampert,12,stat_points,12,,1.2%,,,32,0,20,0,14,0
Swampert,12,ability,1,Torrent,77.2%,,,,,,,,
Swampert,12,ability,2,Damp,22.8%,,,,,,,,
