pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Sylveon,48,move,1,Hyper Voice,95.4%,,,,,,,,
Sylveon,48,move,2,Yawn,66.0%,,,,,,,,
Sylveon,48,move,3,Quick Attack,61.5%,,,,,,,,
Sylveon,48,move,4,Mystical Fire,49.7%,,,,,,,,
Sylveon,48,move,5,Protect,24.4%,,,,,,,,
Sylveon,48,move,6,Wish,20.9%,,,,,,,,
Sylveon,48,move,7,Shadow Ball,19.4%,,,,,,,,
Sylveon,48,move,8,Calm Mind,16.5%,,,,,,,,
Sylveon,48,move,9,Hyper Beam,13.7%,,,,,,,,
Sylveon,48,move,10,Moonblast,5.4%,,,,,,,,
Sylveon,48,held_item,1,Fairy Feather,39.5%,,,,,,,,
Sylveon,48,held_item,2,Leftovers,31.1%,,,,,,,,
Sylveon,48,held_item,3,Sitrus Berry,14.2%,,,,,,,,
Sylveon,48,held_item,4,Life Orb,3.6%,,,,,,,,
Sylveon,48,held_item,5,Quick Claw,2.9%,,,,,,,,
Sylveon,48,held_item,6,Lum Berry,1.2%,,,,,,,,
Sylveon,48,held_item,7,Choice Scarf,1.1%,,,,,,,,
Sylveon,48,held_item,8,Babiri Berry,1.0%,,,,,,,,
Sylveon,48,held_item,9,Focus Sash,0.9%,,,,,,,,
Sylveon,48,held_item,10,Wise Glasses,0.8%,,,,,,,,
Sylveon,48,teammate,1,Garchomp,,,,,,,,,
Sylveon,48,teammate,2,Raichu,,,,,,,,,
Sylveon,48,teammate,3,Meowscarada,,,,,,,,,
Sylveon,48,teammate,4,Metagross,,,,,,,,,
Sylveon,48,teammate,5,Charizard,,,,,,,,,
Sylveon,48,teammate,6,Dragonite,,,,,,,,,
Sylveon,48,teammate,7,Archaludon,,,,,,,,,
Sylveon,48,teammate,8,Staraptor,,,,,,,,,
Sylveon,48,teammate,9,Basculegion Male,,,,,,,,,
Sylveon,48,teammate,10,Blaziken,,,,,,,,,
Sylveon,48,stat_alignment,1,Modest,63.0%,Sp. Atk,Attack,,,,,,
Sylveon,48,stat_alignment,2,Bold,19.3%,Defense,Attack,,,,,,
Sylveon,48,stat_alignment,3,Calm,6.1%,Sp. Def,Attack,,,,,,
Sylveon,48,stat_alignment,4,Quiet,5.3%,Sp. Atk,Speed,,,,,,
Sylveon,48,stat_alignment,5,Relaxed,2.6%,Defense,Speed,,,,,,
Sylveon,48,stat_alignment,6,Timid,2.1%,Speed,Attack,,,,,,
Sylveon,48,stat_alignment,7,Sassy,0.6%,Sp. Def,Speed,,,,,,
Sylveon,48,stat_alignment,8,Mild,0.4%,Sp. Atk,Defense,,,,,,
Sylveon,48,stat_alignment,9,Hasty,0.2%,Speed,Defense,,,,,,
Sylveon,48,stat_alignment,10,Gentle,0.1%,Sp. Def,Defense,,,,,,
Sylveon,48,stat_points,1,,23.4%,,,32,0,0,32,0,2
Sylveon,48,stat_points,2,,8.4%,,,32,0,32,0,2,0
Sylveon,48,stat_points,3,,4.7%,,,32,0,2,32,0,0
Sylveon,48,stat_points,4,,3.9%,,,32,0,32,2,0,0
Sylveon,48,stat_points,5,,3.8%,,,19,0,8,30,0,9
Sylveon,48,stat_points,6,,3.4%,,,32,0,0,32,2,0
Sylveon,48,stat_points,7,,3.0%,,,32,0,32,0,0,2
Sylveon,48,stat_points,8,,2.3%,,,21,0,13,32,0,0
Sylveon,48,stat_points,9,,1.9%,,,2,0,0,32,0,32
Sylveon,48,stat_points,10,,1.7%,,,32,0,0,2,32,0
Sylveon,48,stat_points,11,,1.2%,,,2,0,0,32,32,0
Sylveon,48,stat_points,12,,1.1%,,,2,0,32,32,0,0
Sylveon,48,ability,1,Pixilate,98.2%,,,,,,,,
Sylveon,48,ability,2,Cute Charm,1.8%,,,,,,,,
