pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Talonflame,124,move,1,Flare Blitz,62.2%,,,,,,,,
Talonflame,124,move,2,Brave Bird,59.0%,,,,,,,,
Talonflame,124,move,3,Will-O-Wisp,41.1%,,,,,,,,
Talonflame,124,move,4,Roost,35.6%,,,,,,,,
Talonflame,124,move,5,Taunt,29.3%,,,,,,,,
Talonflame,124,move,6,U-turn,28.0%,,,,,,,,
Talonflame,124,move,7,Tailwind,27.5%,,,,,,,,
Talonflame,124,move,8,Acrobatics,18.9%,,,,,,,,
Talonflame,124,move,9,Dual Wingbeat,11.4%,,,,,,,,
Talonflame,124,move,10,Swords Dance,9.6%,,,,,,,,
Talonflame,124,held_item,1,Sharp Beak,17.1%,,,,,,,,
Talonflame,124,held_item,2,Life Orb,15.0%,,,,,,,,
Talonflame,124,held_item,3,Sitrus Berry,10.9%,,,,,,,,
Talonflame,124,held_item,4,Focus Sash,9.8%,,,,,,,,
Talonflame,124,held_item,5,Leftovers,9.6%,,,,,,,,
Talonflame,124,held_item,6,Muscle Band,2.6%,,,,,,,,
Talonflame,124,held_item,7,Expert Belt,2.5%,,,,,,,,
Talonflame,124,held_item,8,Choice Scarf,2.5%,,,,,,,,
Talonflame,124,held_item,9,Charcoal,1.9%,,,,,,,,
Talonflame,124,held_item,10,Wide Lens,,,,,,,,,
Talonflame,124,teammate,1,Garchomp,,,,,,,,,
Talonflame,124,teammate,2,Raichu,,,,,,,,,
Talonflame,124,teammate,3,Meowscarada,,,,,,,,,
Talonflame,124,teammate,4,Metagross,,,,,,,,,
Talonflame,124,teammate,5,Mimikyu,,,,,,,,,
Talonflame,124,teammate,6,Archaludon,,,,,,,,,
Talonflame,124,teammate,7,Greninja,,,,,,,,,
Talonflame,124,teammate,8,Basculegion Male,,,,,,,,,
Talonflame,124,teammate,9,Dragonite,,,,,,,,,
Talonflame,124,teammate,10,Staraptor,,,,,,,,,
Talonflame,124,stat_alignment,1,Adamant,37.6%,Attack,Sp. Atk,,,,,,
Talonflame,124,stat_alignment,2,Jolly,32.8%,Speed,Sp. Atk,,,,,,
Talonflame,124,stat_alignment,3,Impish,7.9%,Defense,Sp. Atk,,,,,,
Talonflame,124,stat_alignment,4,Timid,4.3%,Speed,Attack,,,,,,
Talonflame,124,stat_alignment,5,Bold,4.0%,Defense,Attack,,,,,,
Talonflame,124,stat_alignment,6,Modest,3.6%,Sp. Atk,Attack,,,,,,
Talonflame,124,stat_alignment,7,Naive,2.6%,Speed,Sp. Def,,,,,,
Talonflame,124,stat_alignment,8,Naughty,1.7%,Attack,Sp. Def,,,,,,
Talonflame,124,stat_alignment,9,Lonely,1.7%,Attack,Defense,,,,,,
Talonflame,124,stat_alignment,10,Hasty,0.8%,Speed,Defense,,,,,,
Talonflame,124,stat_points,1,,39.5%,,,2,32,0,0,0,32
Talonflame,124,stat_points,2,,7.0%,,,0,32,2,0,0,32
Talonflame,124,stat_points,3,,6.0%,,,0,32,0,0,2,32
Talonflame,124,stat_points,4,,3.1%,,,2,0,0,32,0,32
Talonflame,124,stat_points,5,,2.7%,,,0,32,0,0,0,32
Talonflame,124,stat_points,6,,2.4%,,,32,0,32,0,0,2
Talonflame,124,stat_points,7,,1.9%,,,0,32,32,0,0,2
Talonflame,124,stat_points,8,,1.7%,,,32,0,32,0,2,0
Talonflame,124,stat_points,9,,1.3%,,,25,0,32,0,0,9
Talonflame,124,stat_points,10,,1.3%,,,32,2,32,0,0,0
Talonflame,124,ability,1,Gale Wings,73.4%,,,,,,,,
Talonflame,124,ability,2,Flame Body,26.6%,,,,,,,,
