pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Tauros,217,move,1,Earthquake,58.6%,,,,,,,,
Tauros,217,move,2,Raging Bull,54.6%,,,,,,,,
Tauros,217,move,3,Iron Head,54.5%,,,,,,,,
Tauros,217,move,4,Close Combat,33.5%,,,,,,,,
Tauros,217,move,5,Throat Chop,29.6%,,,,,,,,
Tauros,217,move,6,Rock Slide,26.2%,,,,,,,,
Tauros,217,move,7,Body Slam,25.7%,,,,,,,,
Tauros,217,move,8,Zen Headbutt,22.4%,,,,,,,,
Tauros,217,move,9,Wild Charge,10.8%,,,,,,,,
Tauros,217,move,10,Trailblaze,10.0%,,,,,,,,
Tauros,217,held_item,1,Life Orb,60.2%,,,,,,,,
Tauros,217,held_item,2,Focus Sash,8.7%,,,,,,,,
Tauros,217,held_item,3,Choice Scarf,7.3%,,,,,,,,
Tauros,217,held_item,4,Chople Berry,4.6%,,,,,,,,
Tauros,217,held_item,5,Sitrus Berry,4.2%,,,,,,,,
Tauros,217,held_item,6,Lum Berry,,,,,,,,,
Tauros,217,held_item,7,Expert Belt,2.9%,,,,,,,,
Tauros,217,held_item,8,Leftovers,2.1%,,,,,,,,
Tauros,217,held_item,9,Muscle Band,2.1%,,,,,,,,
Tauros,217,held_item,10,Metronome,1.6%,,,,,,,,
Tauros,217,teammate,1,Raichu,,,,,,,,,
Tauros,217,teammate,2,Charizard,,,,,,,,,
Tauros,217,teammate,3,Dragonite,,,,,,,,,
Tauros,217,teammate,4,Staraptor,,,,,,,,,
Tauros,217,teammate,5,Gyarados,,,,,,,,,
Tauros,217,teammate,6,Starmie,,,,,,,,,
Tauros,217,teammate,7,Garchomp,,,,,,,,,
Tauros,217,teammate,8,Venusaur,,,,,,,,,
Tauros,217,teammate,9,Snorlax,,,,,,,,,
Tauros,217,teammate,10,Blaziken,,,,,,,,,
Tauros,217,stat_alignment,1,Jolly,50.6%,Speed,Sp. Atk,,,,,,
Tauros,217,stat_alignment,2,Adamant,31.5%,Attack,Sp. Atk,,,,,,
Tauros,217,stat_alignment,3,Naive,6.9%,Speed,Sp. Def,,,,,,
Tauros,217,stat_alignment,4,Impish,3.0%,Defense,Sp. Atk,,,,,,
Tauros,217,stat_alignment,5,Timid,2.0%,Speed,Attack,,,,,,
Tauros,217,stat_alignment,6,Naughty,1.9%,Attack,Sp. Def,,,,,,
Tauros,217,stat_alignment,7,Modest,1.1%,Sp. Atk,Attack,,,,,,
Tauros,217,stat_alignment,8,Hasty,1.0%,Speed,Defense,,,,,,
Tauros,217,stat_alignment,9,Rash,0.7%,Sp. Atk,Sp. Def,,,,,,
Tauros,217,stat_alignment,10,Mild,0.5%,Sp. Atk,Defense,,,,,,
Tauros,217,stat_points,1,,40.6%,,,2,32,0,0,0,32
Tauros,217,stat_points,2,,10.3%,,,0,32,2,0,0,32
Tauros,217,stat_points,3,,7.3%,,,0,32,0,0,0,32
Tauros,217,stat_points,4,,5.7%,,,1,32,1,0,0,32
Tauros,217,stat_points,5,,4.0%,,,0,32,0,0,2,32
Tauros,217,stat_points,6,,3.2%,,,1,32,0,0,1,32
Tauros,217,stat_points,7,,2.3%,,,2,0,0,32,0,32
Tauros,217,stat_points,8,,1.9%,,,0,32,0,9,0,25
Tauros,217,stat_points,9,,1.5%,,,32,20,14,0,0,0
Tauros,217,stat_points,10,,1.0%,,,2,32,0,0,32,0
Tauros,217,stat_points,11,,0.9%,,,32,32,0,0,0,2
Tauros,217,stat_points,12,,0.8%,,,9,0,0,32,0,25
Tauros,217,ability,1,Sheer Force,67.2%,,,,,,,,
Tauros,217,ability,2,Intimidate,30.7%,,,,,,,,
Tauros,217,ability,3,Anger Point,2.1%,,,,,,,,
