pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Tinkaton,106,move,1,Gigaton Hammer,96.3%,,,,,,,,
Tinkaton,106,move,2,Play Rough,56.1%,,,,,,,,
Tinkaton,106,move,3,Stealth Rock,50.5%,,,,,,,,
Tinkaton,106,move,4,Encore,43.4%,,,,,,,,
Tinkaton,106,move,5,Knock Off,29.2%,,,,,,,,
Tinkaton,106,move,6,Thunder Wave,21.1%,,,,,,,,
Tinkaton,106,move,7,Fake Out,15.9%,,,,,,,,
Tinkaton,106,move,8,Brick Break,14.6%,,,,,,,,
Tinkaton,106,move,9,Ice Hammer,14.3%,,,,,,,,
Tinkaton,106,move,10,Swords Dance,11.1%,,,,,,,,
Tinkaton,106,held_item,1,Focus Sash,21.7%,,,,,,,,
Tinkaton,106,held_item,2,Sitrus Berry,19.0%,,,,,,,,
Tinkaton,106,held_item,3,Shuca Berry,13.1%,,,,,,,,
Tinkaton,106,held_item,4,Life Orb,7.7%,,,,,,,,
Tinkaton,106,held_item,5,Leftovers,7.6%,,,,,,,,
Tinkaton,106,held_item,6,Metal Coat,6.8%,,,,,,,,
Tinkaton,106,held_item,7,Lum Berry,3.7%,,,,,,,,
Tinkaton,106,held_item,8,Mental Herb,3.0%,,,,,,,,
Tinkaton,106,held_item,9,Quick Claw,2.8%,,,,,,,,
Tinkaton,106,held_item,10,Muscle Band,2.3%,,,,,,,,
Tinkaton,106,teammate,1,Garchomp,,,,,,,,,
Tinkaton,106,teammate,2,Raichu,,,,,,,,,
Tinkaton,106,teammate,3,Meowscarada,,,,,,,,,
Tinkaton,106,teammate,4,Staraptor,,,,,,,,,
Tinkaton,106,teammate,5,Dragonite,,,,,,,,,
Tinkaton,106,teammate,6,Gyarados,,,,,,,,,
Tinkaton,106,teammate,7,Charizard,,,,,,,,,
Tinkaton,106,teammate,8,Mimikyu,,,,,,,,,
Tinkaton,106,teammate,9,Dragapult,,,,,,,,,
Tinkaton,106,teammate,10,Hydreigon,,,,,,,,,
Tinkaton,106,stat_alignment,1,Jolly,42.9%,Speed,Sp. Atk,,,,,,
Tinkaton,106,stat_alignment,2,Adamant,36.2%,Attack,Sp. Atk,,,,,,
Tinkaton,106,stat_alignment,3,Careful,7.7%,Sp. Def,Sp. Atk,,,,,,
Tinkaton,106,stat_alignment,4,Impish,7.7%,Defense,Sp. Atk,,,,,,
Tinkaton,106,stat_alignment,5,Brave,1.0%,Attack,Speed,,,,,,
Tinkaton,106,stat_alignment,6,Naughty,0.9%,Attack,Sp. Def,,,,,,
Tinkaton,106,stat_alignment,7,Lonely,0.9%,Attack,Defense,,,,,,
Tinkaton,106,stat_alignment,8,Hasty,0.6%,Speed,Defense,,,,,,
Tinkaton,106,stat_alignment,9,Naive,0.3%,Speed,Sp. Def,,,,,,
Tinkaton,106,stat_alignment,10,Timid,0.3%,Speed,Attack,,,,,,
Tinkaton,106,stat_points,1,,18.3%,,,2,32,0,0,0,32
Tinkaton,106,stat_points,2,,5.0%,,,1,32,1,0,0,32
Tinkaton,106,stat_points,3,,4.5%,,,0,32,2,0,0,32
Tinkaton,106,stat_points,4,,4.2%,,,32,32,2,0,0,0
Tinkaton,106,stat_points,5,,3.7%,,,32,32,0,0,0,2
Tinkaton,106,stat_points,6,,3.6%,,,0,32,0,0,2,32
Tinkaton,106,stat_points,7,,2.4%,,,31,0,3,0,0,32
Tinkaton,106,stat_points,8,,2.3%,,,32,32,0,0,2,0
Tinkaton,106,stat_points,9,,2.1%,,,32,2,0,0,0,32
Tinkaton,106,stat_points,10,,2.1%,,,31,32,3,0,0,0
Tinkaton,106,stat_points,11,,1.9%,,,32,0,2,0,0,32
Tinkaton,106,ability,1,Mold Breaker,88.2%,,,,,,,,
Tinkaton,106,ability,2,Own Tempo,7.3%,,,,,,,,
Tinkaton,106,ability,3,Pickpocket,4.5%,,,,,,,,
