pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Torterra,137,move,1,Shell Smash,79.1%,,,,,,,,
Torterra,137,move,2,Earthquake,51.7%,,,,,,,,
Torterra,137,move,3,Headlong Rush,44.4%,,,,,,,,
Torterra,137,move,4,Wood Hammer,40.1%,,,,,,,,
Torterra,137,move,5,Bullet Seed,29.3%,,,,,,,,
Torterra,137,move,6,Rock Blast,26.9%,,,,,,,,
Torterra,137,move,7,Stone Edge,18.7%,,,,,,,,
Torterra,137,move,8,Rock Slide,15.9%,,,,,,,,
Torterra,137,move,9,Seed Bomb,15.0%,,,,,,,,
Torterra,137,move,10,Leech Seed,8.1%,,,,,,,,
Torterra,137,held_item,1,White Herb,49.1%,,,,,,,,
Torterra,137,held_item,2,Focus Sash,18.6%,,,,,,,,
Torterra,137,held_item,3,Leftovers,5.8%,,,,,,,,
Torterra,137,held_item,4,Sitrus Berry,5.0%,,,,,,,,
Torterra,137,held_item,5,Lum Berry,5.0%,,,,,,,,
Torterra,137,held_item,6,Yache Berry,3.0%,,,,,,,,
Torterra,137,held_item,7,Life Orb,2.3%,,,,,,,,
Torterra,137,held_item,8,Quick Claw,1.9%,,,,,,,,
Torterra,137,held_item,9,Big Root,1.1%,,,,,,,,
Torterra,137,held_item,10,Soft Sand,0.8%,,,,,,,,
Torterra,137,teammate,1,Raichu,,,,,,,,,
Torterra,137,teammate,2,Staraptor,,,,,,,,,
Torterra,137,teammate,3,Charizard,,,,,,,,,
Torterra,137,teammate,4,Garchomp,,,,,,,,,
Torterra,137,teammate,5,Alolan Ninetales,,,,,,,,,
Torterra,137,teammate,6,Metagross,,,,,,,,,
Torterra,137,teammate,7,Archaludon,,,,,,,,,
Torterra,137,teammate,8,Blaziken,,,,,,,,,
Torterra,137,teammate,9,Mimikyu,,,,,,,,,
Torterra,137,teammate,10,Meowscarada,,,,,,,,,
Torterra,137,stat_alignment,1,Adamant,46.4%,Attack,Sp. Atk,,,,,,
Torterra,137,stat_alignment,2,Jolly,29.6%,Speed,Sp. Atk,,,,,,
Torterra,137,stat_alignment,3,Impish,9.4%,Defense,Sp. Atk,,,,,,
Torterra,137,stat_alignment,4,Careful,4.5%,Sp. Def,Sp. Atk,,,,,,
Torterra,137,stat_alignment,5,Lax,2.3%,Defense,Sp. Def,,,,,,
Torterra,137,stat_alignment,6,Sassy,1.6%,Sp. Def,Speed,,,,,,
Torterra,137,stat_alignment,7,Brave,1.2%,Attack,Speed,,,,,,
Torterra,137,stat_alignment,8,Relaxed,1.1%,Defense,Speed,,,,,,
Torterra,137,stat_alignment,9,Bold,0.7%,Defense,Attack,,,,,,
Torterra,137,stat_alignment,10,Modest,0.6%,Sp. Atk,Attack,,,,,,
Torterra,137,stat_points,1,,30.9%,,,2,32,0,0,0,32
Torterra,137,stat_points,2,,7.3%,,,1,32,1,0,0,32
Torterra,137,stat_points,3,,4.8%,,,32,0,32,0,2,0
Torterra,137,stat_points,4,,3.6%,,,0,32,0,0,2,32
Torterra,137,stat_points,5,,3.6%,,,0,32,2,0,0,32
Torterra,137,stat_points,6,,3.6%,,,1,32,0,0,1,32
Torterra,137,stat_points,7,,1.6%,,,32,32,2,0,0,0
Torterra,137,stat_points,8,,1.5%,,,0,32,0,0,0,32
Torterra,137,stat_points,9,,1.5%,,,32,0,2,0,32,0
Torterra,137,stat_points,10,,1.4%,,,7,32,0,0,0,27
Torterra,137,stat_points,11,,1.4%,,,18,3,26,7,0,12
Torterra,137,stat_points,12,,1.2%,,,0,32,32,0,2,0
Torterra,137,ability,1,Shell Armor,62.4%,,,,,,,,
Torterra,137,ability,2,Overgrow,37.6%,,,,,,,,
