pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Toucannon,94,move,1,Beak Blast,99.0%,,,,,,,,
Toucannon,94,move,2,Bullet Seed,81.7%,,,,,,,,
Toucannon,94,move,3,Rock Blast,65.8%,,,,,,,,
Toucannon,94,move,4,Roost,59.6%,,,,,,,,
Toucannon,94,move,5,Encore,42.5%,,,,,,,,
Toucannon,94,move,6,U-turn,16.9%,,,,,,,,
Toucannon,94,move,7,Knock Off,9.6%,,,,,,,,
Toucannon,94,move,8,Tailwind,3.6%,,,,,,,,
Toucannon,94,move,9,Brick Break,3.4%,,,,,,,,
Toucannon,94,move,10,Temper Flare,2.5%,,,,,,,,
Toucannon,94,held_item,1,Sitrus Berry,57.3%,,,,,,,,
Toucannon,94,held_item,2,Focus Sash,8.9%,,,,,,,,
Toucannon,94,held_item,3,Leftovers,8.9%,,,,,,,,
Toucannon,94,held_item,4,King's Rock,6.9%,,,,,,,,
Toucannon,94,held_item,5,Sharp Beak,4.7%,,,,,,,,
Toucannon,94,held_item,6,Life Orb,3.0%,,,,,,,,
Toucannon,94,held_item,7,Lum Berry,2.8%,,,,,,,,
Toucannon,94,held_item,8,Quick Claw,1.3%,,,,,,,,
Toucannon,94,held_item,9,Muscle Band,0.9%,,,,,,,,
Toucannon,94,held_item,10,Wacan Berry,0.8%,,,,,,,,
Toucannon,94,teammate,1,Garchomp,,,,,,,,,
Toucannon,94,teammate,2,Raichu,,,,,,,,,
Toucannon,94,teammate,3,Metagross,,,,,,,,,
Toucannon,94,teammate,4,Mawile,,,,,,,,,
Toucannon,94,teammate,5,Blaziken,,,,,,,,,
Toucannon,94,teammate,6,Mimikyu,,,,,,,,,
Toucannon,94,teammate,7,Hydreigon,,,,,,,,,
Toucannon,94,teammate,8,Meowscarada,,,,,,,,,
Toucannon,94,teammate,9,Archaludon,,,,,,,,,
Toucannon,94,teammate,10,Gengar,,,,,,,,,
Toucannon,94,stat_alignment,1,Adamant,52.5%,Attack,Sp. Atk,,,,,,
Toucannon,94,stat_alignment,2,Impish,36.4%,Defense,Sp. Atk,,,,,,
Toucannon,94,stat_alignment,3,Jolly,2.9%,Speed,Sp. Atk,,,,,,
Toucannon,94,stat_alignment,4,Relaxed,2.1%,Defense,Speed,,,,,,
Toucannon,94,stat_alignment,5,Careful,2.1%,Sp. Def,Sp. Atk,,,,,,
Toucannon,94,stat_alignment,6,Brave,1.8%,Attack,Speed,,,,,,
Toucannon,94,stat_alignment,7,Naughty,0.4%,Attack,Sp. Def,,,,,,
Toucannon,94,stat_alignment,8,Lax,0.3%,Defense,Sp. Def,,,,,,
Toucannon,94,stat_alignment,9,Bold,0.3%,Defense,Attack,,,,,,
Toucannon,94,stat_alignment,10,Lonely,0.2%,Attack,Defense,,,,,,
Toucannon,94,stat_points,1,,23.8%,,,32,2,32,0,0,0
Toucannon,94,stat_points,2,,6.9%,,,32,0,32,0,2,0
Toucannon,94,stat_points,3,,6.4%,,,32,32,2,0,0,0
Toucannon,94,stat_points,4,,5.9%,,,32,0,32,0,0,2
Toucannon,94,stat_points,5,,5.2%,,,32,32,0,0,0,2
Toucannon,94,stat_points,6,,3.7%,,,32,4,26,0,0,4
Toucannon,94,stat_points,7,,3.4%,,,2,32,0,0,0,32
Toucannon,94,stat_points,8,,3.2%,,,32,2,26,0,0,6
Toucannon,94,stat_points,9,,2.8%,,,30,0,32,0,0,4
Toucannon,94,stat_points,10,,2.7%,,,32,32,0,0,2,0
Toucannon,94,stat_points,11,,1.6%,,,2,32,32,0,0,0
Toucannon,94,ability,1,Skill Link,91.1%,,,,,,,,
Toucannon,94,ability,2,Keen Eye,6.9%,,,,,,,,
Toucannon,94,ability,3,Sheer Force,2.0%,,,,,,,,
