pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Toxapex,56,move,1,Recover,94.9%,,,,,,,,
Toxapex,56,move,2,Toxic,91.8%,,,,,,,,
Toxapex,56,move,3,Baneful Bunker,68.4%,,,,,,,,
Toxapex,56,move,4,Infestation,57.1%,,,,,,,,
Toxapex,56,move,5,Haze,33.9%,,,,,,,,
Toxapex,56,move,6,Toxic Spikes,11.4%,,,,,,,,
Toxapex,56,move,7,Chilling Water,7.8%,,,,,,,,
Toxapex,56,move,8,Liquidation,5.1%,,,,,,,,
Toxapex,56,move,9,Payback,4.2%,,,,,,,,
Toxapex,56,move,10,Protect,3.1%,,,,,,,,
Toxapex,56,held_item,1,Leftovers,70.7%,,,,,,,,
Toxapex,56,held_item,2,Sitrus Berry,12.1%,,,,,,,,
Toxapex,56,held_item,3,Mental Herb,4.5%,,,,,,,,
Toxapex,56,held_item,4,Bright Powder,2.6%,,,,,,,,
Toxapex,56,held_item,5,Shuca Berry,1.6%,,,,,,,,
Toxapex,56,held_item,6,Quick Claw,0.8%,,,,,,,,
Toxapex,56,held_item,7,Lum Berry,0.8%,,,,,,,,
Toxapex,56,held_item,8,Wacan Berry,0.4%,,,,,,,,
Toxapex,56,held_item,9,White Herb,0.3%,,,,,,,,
Toxapex,56,held_item,10,Shed Shell,0.3%,,,,,,,,
Toxapex,56,teammate,1,Garchomp,,,,,,,,,
Toxapex,56,teammate,2,Meowscarada,,,,,,,,,
Toxapex,56,teammate,3,Raichu,,,,,,,,,
Toxapex,56,teammate,4,Corviknight,,,,,,,,,
Toxapex,56,teammate,5,Mimikyu,,,,,,,,,
Toxapex,56,teammate,6,Staraptor,,,,,,,,,
Toxapex,56,teammate,7,Charizard,,,,,,,,,
Toxapex,56,teammate,8,Metagross,,,,,,,,,
Toxapex,56,teammate,9,Archaludon,,,,,,,,,
Toxapex,56,teammate,10,Hippowdon,,,,,,,,,
Toxapex,56,stat_alignment,1,Bold,37.5%,Defense,Attack,,,,,,
Toxapex,56,stat_alignment,2,Calm,21.6%,Sp. Def,Attack,,,,,,
Toxapex,56,stat_alignment,3,Impish,12.6%,Defense,Sp. Atk,,,,,,
Toxapex,56,stat_alignment,4,Careful,11.4%,Sp. Def,Sp. Atk,,,,,,
Toxapex,56,stat_alignment,5,Sassy,7.9%,Sp. Def,Speed,,,,,,
Toxapex,56,stat_alignment,6,Relaxed,6.8%,Defense,Speed,,,,,,
Toxapex,56,stat_alignment,7,Modest,0.5%,Sp. Atk,Attack,,,,,,
Toxapex,56,stat_alignment,8,Adamant,0.4%,Attack,Sp. Atk,,,,,,
Toxapex,56,stat_alignment,9,Quiet,0.4%,Sp. Atk,Speed,,,,,,
Toxapex,56,stat_alignment,10,Brave,0.3%,Attack,Speed,,,,,,
Toxapex,56,stat_points,1,,28.2%,,,32,0,2,0,32,0
Toxapex,56,stat_points,2,,26.0%,,,32,0,32,0,2,0
Toxapex,56,stat_points,3,,5.3%,,,2,0,32,0,32,0
Toxapex,56,stat_points,4,,3.8%,,,32,0,18,0,16,0
Toxapex,56,stat_points,5,,2.2%,,,32,0,28,0,6,0
Toxapex,56,stat_points,6,,1.9%,,,32,0,16,0,18,0
Toxapex,56,stat_points,7,,1.8%,,,32,0,0,0,32,0
Toxapex,56,stat_points,8,,1.6%,,,32,0,6,0,28,0
Toxapex,56,stat_points,9,,1.4%,,,32,0,20,0,14,0
Toxapex,56,stat_points,10,,1.3%,,,32,0,32,0,0,0
Toxapex,56,stat_points,11,,1.2%,,,32,0,32,2,0,0
Toxapex,56,stat_points,12,,1.1%,,,32,0,8,0,26,0
Toxapex,56,ability,1,Regenerator,95.2%,,,,,,,,
Toxapex,56,ability,2,Merciless,3.7%,,,,,,,,
Toxapex,56,ability,3,Limber,1.1%,,,,,,,,
