pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Toxicroak,195,move,1,Close Combat,69.2%,,,,,,,,
Toxicroak,195,move,2,Sucker Punch,61.2%,,,,,,,,
Toxicroak,195,move,3,Poison Jab,40.5%,,,,,,,,
Toxicroak,195,move,4,Gunk Shot,38.8%,,,,,,,,
Toxicroak,195,move,5,Counter,22.8%,,,,,,,,
Toxicroak,195,move,6,Drain Punch,16.3%,,,,,,,,
Toxicroak,195,move,7,Fake Out,15.2%,,,,,,,,
Toxicroak,195,move,8,Thunder Punch,15.1%,,,,,,,,
Toxicroak,195,move,9,Ice Punch,14.8%,,,,,,,,
Toxicroak,195,move,10,Earthquake,14.5%,,,,,,,,
Toxicroak,195,held_item,1,Focus Sash,56.5%,,,,,,,,
Toxicroak,195,held_item,2,Life Orb,10.8%,,,,,,,,
Toxicroak,195,held_item,3,Choice Scarf,6.9%,,,,,,,,
Toxicroak,195,held_item,4,Leftovers,4.4%,,,,,,,,
Toxicroak,195,held_item,5,Sitrus Berry,2.1%,,,,,,,,
Toxicroak,195,held_item,6,Shuca Berry,2.1%,,,,,,,,
Toxicroak,195,held_item,7,Focus Band,1.9%,,,,,,,,
Toxicroak,195,held_item,8,Muscle Band,1.6%,,,,,,,,
Toxicroak,195,held_item,9,Shell Bell,1.5%,,,,,,,,
Toxicroak,195,held_item,10,Lum Berry,1.2%,,,,,,,,
Toxicroak,195,teammate,1,Garchomp,,,,,,,,,
Toxicroak,195,teammate,2,Raichu,,,,,,,,,
Toxicroak,195,teammate,3,Meowscarada,,,,,,,,,
Toxicroak,195,teammate,4,Swampert,,,,,,,,,
Toxicroak,195,teammate,5,Mimikyu,,,,,,,,,
Toxicroak,195,teammate,6,Archaludon,,,,,,,,,
Toxicroak,195,teammate,7,Pelipper,,,,,,,,,
Toxicroak,195,teammate,8,Staraptor,,,,,,,,,
Toxicroak,195,teammate,9,Corviknight,,,,,,,,,
Toxicroak,195,teammate,10,Skeledirge,,,,,,,,,
Toxicroak,195,stat_alignment,1,Adamant,62.5%,Attack,Sp. Atk,,,,,,
Toxicroak,195,stat_alignment,2,Jolly,18.5%,Speed,Sp. Atk,,,,,,
Toxicroak,195,stat_alignment,3,Impish,3.5%,Defense,Sp. Atk,,,,,,
Toxicroak,195,stat_alignment,4,Brave,3.3%,Attack,Speed,,,,,,
Toxicroak,195,stat_alignment,5,Naughty,2.6%,Attack,Sp. Def,,,,,,
Toxicroak,195,stat_alignment,6,Careful,2.3%,Sp. Def,Sp. Atk,,,,,,
Toxicroak,195,stat_alignment,7,Naive,1.6%,Speed,Sp. Def,,,,,,
Toxicroak,195,stat_alignment,8,Lonely,1.5%,Attack,Defense,,,,,,
Toxicroak,195,stat_alignment,9,Timid,1.3%,Speed,Attack,,,,,,
Toxicroak,195,stat_alignment,10,Hasty,1.1%,Speed,Defense,,,,,,
Toxicroak,195,stat_points,1,,41.1%,,,2,32,0,0,0,32
Toxicroak,195,stat_points,2,,8.8%,,,1,32,1,0,0,32
Toxicroak,195,stat_points,3,,6.3%,,,0,32,2,0,0,32
Toxicroak,195,stat_points,4,,3.0%,,,32,32,2,0,0,0
Toxicroak,195,stat_points,5,,2.7%,,,32,32,0,0,0,2
Toxicroak,195,stat_points,6,,2.4%,,,0,32,0,0,0,32
Toxicroak,195,stat_points,7,,2.4%,,,0,32,0,0,2,32
Toxicroak,195,stat_points,8,,1.9%,,,27,32,3,0,0,4
Toxicroak,195,stat_points,9,,1.6%,,,1,32,0,0,1,32
Toxicroak,195,stat_points,10,,1.6%,,,0,32,32,0,2,0
Toxicroak,195,stat_points,11,,1.5%,,,32,0,32,0,2,0
Toxicroak,195,stat_points,12,,1.3%,,,0,32,18,0,16,0
Toxicroak,195,ability,1,Dry Skin,79.5%,,,,,,,,
Toxicroak,195,ability,2,Poison Touch,18.9%,,,,,,,,
Toxicroak,195,ability,3,Anticipation,1.6%,,,,,,,,
