pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Trevenant,172,move,1,Leech Seed,81.1%,,,,,,,,
Trevenant,172,move,2,Protect,63.3%,,,,,,,,
Trevenant,172,move,3,Horn Leech,56.7%,,,,,,,,
Trevenant,172,move,4,Will-O-Wisp,53.9%,,,,,,,,
Trevenant,172,move,5,Poltergeist,25.6%,,,,,,,,
Trevenant,172,move,6,Substitute,23.8%,,,,,,,,
Trevenant,172,move,7,Curse,22.8%,,,,,,,,
Trevenant,172,move,8,Trick Room,7.9%,,,,,,,,
Trevenant,172,move,9,Sucker Punch,6.8%,,,,,,,,
Trevenant,172,move,10,Phantom Force,5.4%,,,,,,,,
Trevenant,172,held_item,1,Sitrus Berry,87.7%,,,,,,,,
Trevenant,172,held_item,2,Lum Berry,3.1%,,,,,,,,
Trevenant,172,held_item,3,Leftovers,1.8%,,,,,,,,
Trevenant,172,held_item,4,Chesto Berry,1.8%,,,,,,,,
Trevenant,172,held_item,5,Big Root,1.5%,,,,,,,,
Trevenant,172,held_item,6,Focus Sash,1.4%,,,,,,,,
Trevenant,172,held_item,7,Life Orb,0.4%,,,,,,,,
Trevenant,172,held_item,8,Colbur Berry,0.4%,,,,,,,,
Trevenant,172,held_item,9,Kasib Berry,0.3%,,,,,,,,
Trevenant,172,held_item,10,Mental Herb,0.2%,,,,,,,,
Trevenant,172,teammate,1,Raichu,,,,,,,,,
Trevenant,172,teammate,2,Garchomp,,,,,,,,,
Trevenant,172,teammate,3,Staraptor,,,,,,,,,
Trevenant,172,teammate,4,Charizard,,,,,,,,,
Trevenant,172,teammate,5,Mimikyu,,,,,,,,,
Trevenant,172,teammate,6,Gyarados,,,,,,,,,
Trevenant,172,teammate,7,Archaludon,,,,,,,,,
Trevenant,172,teammate,8,Blaziken,,,,,,,,,
Trevenant,172,teammate,9,Meowscarada,,,,,,,,,
Trevenant,172,teammate,10,Metagross,,,,,,,,,
Trevenant,172,stat_alignment,1,Impish,47.4%,Defense,Sp. Atk,,,,,,
Trevenant,172,stat_alignment,2,Careful,21.9%,Sp. Def,Sp. Atk,,,,,,
Trevenant,172,stat_alignment,3,Adamant,6.6%,Attack,Sp. Atk,,,,,,
Trevenant,172,stat_alignment,4,Bold,5.5%,Defense,Attack,,,,,,
Trevenant,172,stat_alignment,5,Relaxed,5.2%,Defense,Speed,,,,,,
Trevenant,172,stat_alignment,6,Brave,4.3%,Attack,Speed,,,,,,
Trevenant,172,stat_alignment,7,Calm,3.8%,Sp. Def,Attack,,,,,,
Trevenant,172,stat_alignment,8,Sassy,2.2%,Sp. Def,Speed,,,,,,
Trevenant,172,stat_alignment,9,Jolly,1.0%,Speed,Sp. Atk,,,,,,
Trevenant,172,stat_alignment,10,Timid,0.8%,Speed,Attack,,,,,,
Trevenant,172,stat_points,1,,30.7%,,,32,0,32,0,2,0
Trevenant,172,stat_points,2,,11.9%,,,32,0,2,0,32,0
Trevenant,172,stat_points,3,,5.0%,,,32,2,32,0,0,0
Trevenant,172,stat_points,4,,2.4%,,,31,0,32,0,3,0
Trevenant,172,stat_points,5,,2.3%,,,2,0,32,0,32,0
Trevenant,172,stat_points,6,,2.1%,,,32,0,32,0,0,2
Trevenant,172,stat_points,7,,1.8%,,,32,0,32,0,0,0
Trevenant,172,stat_points,8,,1.7%,,,32,0,24,0,10,0
Trevenant,172,stat_points,9,,1.6%,,,32,2,0,0,32,0
Trevenant,172,stat_points,10,,1.6%,,,32,32,0,0,2,0
Trevenant,172,stat_points,11,,1.3%,,,32,32,2,0,0,0
Trevenant,172,stat_points,12,,1.2%,,,0,2,32,0,32,0
Trevenant,172,ability,1,Harvest,93.2%,,,,,,,,
Trevenant,172,ability,2,Frisk,4.4%,,,,,,,,
Trevenant,172,ability,3,Natural Cure,2.3%,,,,,,,,
