pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Typhlosion,190,move,1,Eruption,80.5%,,,,,,,,
Typhlosion,190,move,2,Scorching Sands,56.9%,,,,,,,,
Typhlosion,190,move,3,Flamethrower,41.4%,,,,,,,,
Typhlosion,190,move,4,Shadow Ball,39.7%,,,,,,,,
Typhlosion,190,move,5,Focus Blast,30.8%,,,,,,,,
Typhlosion,190,move,6,Burn Up,18.1%,,,,,,,,
Typhlosion,190,move,7,Overheat,14.0%,,,,,,,,
Typhlosion,190,move,8,Will-O-Wisp,12.5%,,,,,,,,
Typhlosion,190,move,9,Extrasensory,11.5%,,,,,,,,
Typhlosion,190,move,10,Quick Attack,11.3%,,,,,,,,
Typhlosion,190,held_item,1,Choice Scarf,61.5%,,,,,,,,
Typhlosion,190,held_item,2,Charcoal,14.9%,,,,,,,,
Typhlosion,190,held_item,3,Focus Sash,9.0%,,,,,,,,
Typhlosion,190,held_item,4,Life Orb,3.7%,,,,,,,,
Typhlosion,190,held_item,5,Quick Claw,2.2%,,,,,,,,
Typhlosion,190,held_item,6,Expert Belt,1.4%,,,,,,,,
Typhlosion,190,held_item,7,Sitrus Berry,1.2%,,,,,,,,
Typhlosion,190,held_item,8,Shuca Berry,1.0%,,,,,,,,
Typhlosion,190,held_item,9,Wise Glasses,0.8%,,,,,,,,
Typhlosion,190,held_item,10,Leftovers,0.6%,,,,,,,,
Typhlosion,190,teammate,1,Garchomp,,,,,,,,,
Typhlosion,190,teammate,2,Raichu,,,,,,,,,
Typhlosion,190,teammate,3,Corviknight,,,,,,,,,
Typhlosion,190,teammate,4,Staraptor,,,,,,,,,
Typhlosion,190,teammate,5,Meowscarada,,,,,,,,,
Typhlosion,190,teammate,6,Dragonite,,,,,,,,,
Typhlosion,190,teammate,7,Metagross,,,,,,,,,
Typhlosion,190,teammate,8,Dragapult,,,,,,,,,
Typhlosion,190,teammate,9,Mimikyu,,,,,,,,,
Typhlosion,190,teammate,10,Gyarados,,,,,,,,,
Typhlosion,190,stat_alignment,1,Modest,50.9%,Sp. Atk,Attack,,,,,,
Typhlosion,190,stat_alignment,2,Timid,34.4%,Speed,Attack,,,,,,
Typhlosion,190,stat_alignment,3,Hasty,3.5%,Speed,Defense,,,,,,
Typhlosion,190,stat_alignment,4,Rash,3.0%,Sp. Atk,Sp. Def,,,,,,
Typhlosion,190,stat_alignment,5,Mild,2.5%,Sp. Atk,Defense,,,,,,
Typhlosion,190,stat_alignment,6,Quiet,1.5%,Sp. Atk,Speed,,,,,,
Typhlosion,190,stat_alignment,7,Naive,1.2%,Speed,Sp. Def,,,,,,
Typhlosion,190,stat_alignment,8,Calm,0.8%,Sp. Def,Attack,,,,,,
Typhlosion,190,stat_alignment,9,Jolly,0.6%,Speed,Sp. Atk,,,,,,
Typhlosion,190,stat_alignment,10,Sassy,0.5%,Sp. Def,Speed,,,,,,
Typhlosion,190,stat_points,1,,31.5%,,,2,0,0,32,0,32
Typhlosion,190,stat_points,2,,18.5%,,,0,0,2,32,0,32
Typhlosion,190,stat_points,3,,5.0%,,,0,0,0,32,2,32
Typhlosion,190,stat_points,4,,3.6%,,,0,0,0,32,0,32
Typhlosion,190,stat_points,5,,3.5%,,,0,2,0,32,0,32
Typhlosion,190,stat_points,6,,2.0%,,,32,0,0,32,2,0
Typhlosion,190,stat_points,7,,1.9%,,,2,0,32,32,0,0
Typhlosion,190,stat_points,8,,1.6%,,,1,0,0,32,0,32
Typhlosion,190,stat_points,9,,1.5%,,,6,0,3,32,0,25
Typhlosion,190,stat_points,10,,0.8%,,,4,19,0,11,0,32
Typhlosion,190,stat_points,11,,0.7%,,,32,0,2,32,0,0
Typhlosion,190,stat_points,12,,0.6%,,,0,0,22,32,0,12
Typhlosion,190,ability,1,Flash Fire,66.6%,,,,,,,,
Typhlosion,190,ability,2,Blaze,33.4%,,,,,,,,
