pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Umbreon,41,move,1,Foul Play,95.5%,,,,,,,,
Umbreon,41,move,2,Protect,83.0%,,,,,,,,
Umbreon,41,move,3,Wish,80.4%,,,,,,,,
Umbreon,41,move,4,Yawn,51.7%,,,,,,,,
Umbreon,41,move,5,Toxic,46.7%,,,,,,,,
Umbreon,41,move,6,Moonlight,16.7%,,,,,,,,
Umbreon,41,move,7,Detect,3.9%,,,,,,,,
Umbreon,41,move,8,Taunt,3.7%,,,,,,,,
Umbreon,41,move,9,Baton Pass,2.4%,,,,,,,,
Umbreon,41,move,10,Snarl,2.2%,,,,,,,,
Umbreon,41,held_item,1,Leftovers,88.7%,,,,,,,,
Umbreon,41,held_item,2,Sitrus Berry,6.2%,,,,,,,,
Umbreon,41,held_item,3,Lum Berry,1.1%,,,,,,,,
Umbreon,41,held_item,4,Bright Powder,1.0%,,,,,,,,
Umbreon,41,held_item,5,Chople Berry,0.6%,,,,,,,,
Umbreon,41,held_item,6,Light Clay,0.5%,,,,,,,,
Umbreon,41,held_item,7,Mental Herb,0.4%,,,,,,,,
Umbreon,41,held_item,8,Black Glasses,0.3%,,,,,,,,
Umbreon,41,held_item,9,Quick Claw,0.3%,,,,,,,,
Umbreon,41,held_item,10,Roseli Berry,0.1%,,,,,,,,
Umbreon,41,teammate,1,Garchomp,,,,,,,,,
Umbreon,41,teammate,2,Raichu,,,,,,,,,
Umbreon,41,teammate,3,Mimikyu,,,,,,,,,
Umbreon,41,teammate,4,Meowscarada,,,,,,,,,
Umbreon,41,teammate,5,Staraptor,,,,,,,,,
Umbreon,41,teammate,6,Metagross,,,,,,,,,
Umbreon,41,teammate,7,Charizard,,,,,,,,,
Umbreon,41,teammate,8,Archaludon,,,,,,,,,
Umbreon,41,teammate,9,Gengar,,,,,,,,,
Umbreon,41,teammate,10,Blaziken,,,,,,,,,
Umbreon,41,stat_alignment,1,Bold,52.6%,Defense,Attack,,,,,,
Umbreon,41,stat_alignment,2,Impish,21.7%,Defense,Sp. Atk,,,,,,
Umbreon,41,stat_alignment,3,Calm,9.7%,Sp. Def,Attack,,,,,,
Umbreon,41,stat_alignment,4,Careful,8.6%,Sp. Def,Sp. Atk,,,,,,
Umbreon,41,stat_alignment,5,Relaxed,4.1%,Defense,Speed,,,,,,
Umbreon,41,stat_alignment,6,Sassy,1.3%,Sp. Def,Speed,,,,,,
Umbreon,41,stat_alignment,7,Adamant,0.5%,Attack,Sp. Atk,,,,,,
Umbreon,41,stat_alignment,8,Brave,0.4%,Attack,Speed,,,,,,
Umbreon,41,stat_alignment,9,Jolly,0.3%,Speed,Sp. Atk,,,,,,
Umbreon,41,stat_alignment,10,Timid,0.2%,Speed,Attack,,,,,,
Umbreon,41,stat_points,1,,47.8%,,,32,0,32,0,2,0
Umbreon,41,stat_points,2,,7.8%,,,32,0,2,0,32,0
Umbreon,41,stat_points,3,,3.7%,,,31,0,32,0,3,0
Umbreon,41,stat_points,4,,3.3%,,,32,0,32,0,0,2
Umbreon,41,stat_points,5,,3.0%,,,32,0,32,0,1,1
Umbreon,41,stat_points,6,,2.6%,,,2,0,32,0,32,0
Umbreon,41,stat_points,7,,2.1%,,,32,0,32,0,0,0
Umbreon,41,stat_points,8,,2.0%,,,32,0,20,0,14,0
Umbreon,41,stat_points,9,,1.3%,,,32,0,32,0,1,0
Umbreon,41,stat_points,10,,1.2%,,,32,0,30,0,4,0
Umbreon,41,stat_points,11,,0.9%,,,32,0,0,0,32,0
Umbreon,41,stat_points,12,,0.8%,,,32,0,14,0,20,0
Umbreon,41,ability,1,Inner Focus,60.4%,,,,,,,,
Umbreon,41,ability,2,Synchronize,39.6%,,,,,,,,
