pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Venusaur,43,move,1,Earth Power,84.2%,,,,,,,,
Venusaur,43,move,2,Giga Drain,73.8%,,,,,,,,
Venusaur,43,move,3,Synthesis,64.7%,,,,,,,,
Venusaur,43,move,4,Sludge Bomb,56.6%,,,,,,,,
Venusaur,43,move,5,Leech Seed,48.1%,,,,,,,,
Venusaur,43,move,6,Sludge Wave,19.6%,,,,,,,,
Venusaur,43,move,7,Toxic,11.1%,,,,,,,,
Venusaur,43,move,8,Sleep Powder,8.3%,,,,,,,,
Venusaur,43,move,9,Weather Ball,5.9%,,,,,,,,
Venusaur,43,move,10,Protect,4.4%,,,,,,,,
Venusaur,43,held_item,1,Venusaurite,84.7%,,,,,,,,
Venusaur,43,held_item,2,Life Orb,4.9%,,,,,,,,
Venusaur,43,held_item,3,Leftovers,3.2%,,,,,,,,
Venusaur,43,held_item,4,Sitrus Berry,1.6%,,,,,,,,
Venusaur,43,held_item,5,Big Root,1.0%,,,,,,,,
Venusaur,43,held_item,6,Focus Sash,0.8%,,,,,,,,
Venusaur,43,held_item,7,Wide Lens,0.7%,,,,,,,,
Venusaur,43,held_item,8,Miracle Seed,0.5%,,,,,,,,
Venusaur,43,held_item,9,Expert Belt,0.3%,,,,,,,,
Venusaur,43,held_item,10,Lum Berry,0.3%,,,,,,,,
Venusaur,43,teammate,1,Garchomp,,,,,,,,,
Venusaur,43,teammate,2,Skeledirge,,,,,,,,,
Venusaur,43,teammate,3,Archaludon,,,,,,,,,
Venusaur,43,teammate,4,Mimikyu,,,,,,,,,
Venusaur,43,teammate,5,Corviknight,,,,,,,,,
Venusaur,43,teammate,6,Charizard,,,,,,,,,
Venusaur,43,teammate,7,Hydreigon,,,,,,,,,
Venusaur,43,teammate,8,Metagross,,,,,,,,,
Venusaur,43,teammate,9,Primarina,,,,,,,,,
Venusaur,43,teammate,10,Basculegion Male,,,,,,,,,
Venusaur,43,stat_alignment,1,Bold,36.8%,Defense,Attack,,,,,,
Venusaur,43,stat_alignment,2,Calm,30.3%,Sp. Def,Attack,,,,,,
Venusaur,43,stat_alignment,3,Modest,27.1%,Sp. Atk,Attack,,,,,,
Venusaur,43,stat_alignment,4,Timid,3.1%,Speed,Attack,,,,,,
Venusaur,43,stat_alignment,5,Quiet,0.8%,Sp. Atk,Speed,,,,,,
Venusaur,43,stat_alignment,6,Relaxed,0.4%,Defense,Speed,,,,,,
Venusaur,43,stat_alignment,7,Sassy,0.4%,Sp. Def,Speed,,,,,,
Venusaur,43,stat_alignment,8,Mild,0.2%,Sp. Atk,Defense,,,,,,
Venusaur,43,stat_alignment,9,Careful,0.2%,Sp. Def,Sp. Atk,,,,,,
Venusaur,43,stat_alignment,10,Impish,0.2%,Defense,Sp. Atk,,,,,,
Venusaur,43,stat_points,1,,12.4%,,,32,0,32,0,2,0
Venusaur,43,stat_points,2,,9.9%,,,32,0,2,0,32,0
Venusaur,43,stat_points,3,,4.1%,,,2,0,0,32,0,32
Venusaur,43,stat_points,4,,4.0%,,,32,0,2,32,0,0
Venusaur,43,stat_points,5,,3.8%,,,32,0,0,32,0,2
Venusaur,43,stat_points,6,,2.9%,,,32,0,0,32,2,0
Venusaur,43,stat_points,7,,2.5%,,,32,0,0,2,32,0
Venusaur,43,stat_points,8,,2.3%,,,32,0,32,2,0,0
Venusaur,43,stat_points,9,,2.1%,,,32,0,13,0,21,0
Venusaur,43,stat_points,10,,1.7%,,,32,0,27,0,7,0
Venusaur,43,stat_points,11,,1.6%,,,32,0,17,12,5,0
Venusaur,43,stat_points,12,,1.5%,,,32,0,32,0,0,2
Venusaur,43,ability,1,Chlorophyll,67.6%,,,,,,,,
Venusaur,43,ability,2,Overgrow,32.4%,,,,,,,,
