pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Victreebel,104,move,1,Strength Sap,95.6%,,,,,,,,
Victreebel,104,move,2,Giga Drain,53.3%,,,,,,,,
Victreebel,104,move,3,Sucker Punch,47.7%,,,,,,,,
Victreebel,104,move,4,Encore,32.8%,,,,,,,,
Victreebel,104,move,5,Sludge Wave,26.4%,,,,,,,,
Victreebel,104,move,6,Poison Jab,18.7%,,,,,,,,
Victreebel,104,move,7,Sludge Bomb,17.3%,,,,,,,,
Victreebel,104,move,8,Power Whip,14.4%,,,,,,,,
Victreebel,104,move,9,Toxic Spikes,14.0%,,,,,,,,
Victreebel,104,move,10,Toxic,13.3%,,,,,,,,
Victreebel,104,held_item,1,Victreebelite,93.4%,,,,,,,,
Victreebel,104,held_item,2,Focus Sash,1.1%,,,,,,,,
Victreebel,104,held_item,3,Sitrus Berry,1.0%,,,,,,,,
Victreebel,104,held_item,4,Life Orb,0.8%,,,,,,,,
Victreebel,104,held_item,5,Leftovers,0.7%,,,,,,,,
Victreebel,104,held_item,6,Big Root,0.5%,,,,,,,,
Victreebel,104,held_item,7,Quick Claw,0.4%,,,,,,,,
Victreebel,104,held_item,8,Lum Berry,0.4%,,,,,,,,
Victreebel,104,held_item,9,White Herb,0.2%,,,,,,,,
Victreebel,104,held_item,10,Bright Powder,0.2%,,,,,,,,
Victreebel,104,teammate,1,Garchomp,,,,,,,,,
Victreebel,104,teammate,2,Archaludon,,,,,,,,,
Victreebel,104,teammate,3,Basculegion Male,,,,,,,,,
Victreebel,104,teammate,4,Mimikyu,,,,,,,,,
Victreebel,104,teammate,5,Kingambit,,,,,,,,,
Victreebel,104,teammate,6,Raichu,,,,,,,,,
Victreebel,104,teammate,7,Staraptor,,,,,,,,,
Victreebel,104,teammate,8,Primarina,,,,,,,,,
Victreebel,104,teammate,9,Skeledirge,,,,,,,,,
Victreebel,104,teammate,10,Corviknight,,,,,,,,,
Victreebel,104,stat_alignment,1,Modest,27.4%,Sp. Atk,Attack,,,,,,
Victreebel,104,stat_alignment,2,Adamant,21.5%,Attack,Sp. Atk,,,,,,
Victreebel,104,stat_alignment,3,Quiet,9.7%,Sp. Atk,Speed,,,,,,
Victreebel,104,stat_alignment,4,Impish,9.4%,Defense,Sp. Atk,,,,,,
Victreebel,104,stat_alignment,5,Bold,8.8%,Defense,Attack,,,,,,
Victreebel,104,stat_alignment,6,Rash,5.9%,Sp. Atk,Sp. Def,,,,,,
Victreebel,104,stat_alignment,7,Timid,3.2%,Speed,Attack,,,,,,
Victreebel,104,stat_alignment,8,Lax,2.4%,Defense,Sp. Def,,,,,,
Victreebel,104,stat_alignment,9,Relaxed,2.1%,Defense,Speed,,,,,,
Victreebel,104,stat_alignment,10,Calm,1.6%,Sp. Def,Attack,,,,,,
Victreebel,104,stat_points,1,,15.8%,,,32,0,0,32,0,2
Victreebel,104,stat_points,2,,11.7%,,,32,32,0,0,0,2
Victreebel,104,stat_points,3,,9.8%,,,32,2,0,32,0,0
Victreebel,104,stat_points,4,,8.0%,,,32,0,32,0,0,2
Victreebel,104,stat_points,5,,6.8%,,,32,0,2,32,0,0
Victreebel,104,stat_points,6,,5.8%,,,32,32,2,0,0,0
Victreebel,104,stat_points,7,,4.1%,,,32,0,32,0,2,0
Victreebel,104,stat_points,8,,2.6%,,,32,0,32,2,0,0
Victreebel,104,stat_points,9,,1.7%,,,32,0,0,32,2,0
Victreebel,104,stat_points,10,,1.6%,,,32,32,0,0,2,0
Victreebel,104,stat_points,11,,1.5%,,,32,0,17,0,0,17
Victreebel,104,stat_points,12,,1.5%,,,32,0,30,0,0,4
Victreebel,104,ability,1,Chlorophyll,85.4%,,,,,,,,
Victreebel,104,ability,2,Gluttony,14.6%,,,,,,,,
