pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Vileplume,112,move,1,Strength Sap,93.0%,,,,,,,,
Vileplume,112,move,2,Leech Seed,79.6%,,,,,,,,
Vileplume,112,move,3,Giga Drain,65.2%,,,,,,,,
Vileplume,112,move,4,Toxic,36.2%,,,,,,,,
Vileplume,112,move,5,Sludge Bomb,26.3%,,,,,,,,
Vileplume,112,move,6,Acid Spray,22.4%,,,,,,,,
Vileplume,112,move,7,Moonblast,21.0%,,,,,,,,
Vileplume,112,move,8,Sludge Wave,17.1%,,,,,,,,
Vileplume,112,move,9,Sleep Powder,7.1%,,,,,,,,
Vileplume,112,move,10,Protect,6.9%,,,,,,,,
Vileplume,112,held_item,1,Leftovers,49.9%,,,,,,,,
Vileplume,112,held_item,2,Big Root,25.3%,,,,,,,,
Vileplume,112,held_item,3,Sitrus Berry,10.8%,,,,,,,,
Vileplume,112,held_item,4,Life Orb,2.6%,,,,,,,,
Vileplume,112,held_item,5,Focus Sash,2.1%,,,,,,,,
Vileplume,112,held_item,6,Zoom Lens,1.5%,,,,,,,,
Vileplume,112,held_item,7,Bright Powder,1.4%,,,,,,,,
Vileplume,112,held_item,8,Quick Claw,1.3%,,,,,,,,
Vileplume,112,held_item,9,Wide Lens,0.8%,,,,,,,,
Vileplume,112,held_item,10,Payapa Berry,0.5%,,,,,,,,
Vileplume,112,teammate,1,Metagross,,,,,,,,,
Vileplume,112,teammate,2,Garchomp,,,,,,,,,
Vileplume,112,teammate,3,Hydreigon,,,,,,,,,
Vileplume,112,teammate,4,Raichu,,,,,,,,,
Vileplume,112,teammate,5,Primarina,,,,,,,,,
Vileplume,112,teammate,6,Dragonite,,,,,,,,,
Vileplume,112,teammate,7,Ceruledge,,,,,,,,,
Vileplume,112,teammate,8,Staraptor,,,,,,,,,
Vileplume,112,teammate,9,Mimikyu,,,,,,,,,
Vileplume,112,teammate,10,Blaziken,,,,,,,,,
Vileplume,112,stat_alignment,1,Bold,75.4%,Defense,Attack,,,,,,
Vileplume,112,stat_alignment,2,Calm,11.2%,Sp. Def,Attack,,,,,,
Vileplume,112,stat_alignment,3,Modest,6.6%,Sp. Atk,Attack,,,,,,
Vileplume,112,stat_alignment,4,Timid,2.5%,Speed,Attack,,,,,,
Vileplume,112,stat_alignment,5,Relaxed,2.0%,Defense,Speed,,,,,,
Vileplume,112,stat_alignment,6,Sassy,0.8%,Sp. Def,Speed,,,,,,
Vileplume,112,stat_alignment,7,Quiet,0.8%,Sp. Atk,Speed,,,,,,
Vileplume,112,stat_alignment,8,Impish,0.2%,Defense,Sp. Atk,,,,,,
Vileplume,112,stat_alignment,9,Mild,0.2%,Sp. Atk,Defense,,,,,,
Vileplume,112,stat_alignment,10,Gentle,0.1%,Sp. Def,Defense,,,,,,
Vileplume,112,stat_points,1,,34.0%,,,32,0,32,0,2,0
Vileplume,112,stat_points,2,,11.7%,,,31,0,31,0,4,0
Vileplume,112,stat_points,3,,6.9%,,,31,0,32,0,3,0
Vileplume,112,stat_points,4,,5.9%,,,32,0,32,2,0,0
Vileplume,112,stat_points,5,,3.5%,,,32,0,2,0,32,0
Vileplume,112,stat_points,6,,2.2%,,,32,0,32,0,0,2
Vileplume,112,stat_points,7,,1.9%,,,32,0,32,0,0,0
Vileplume,112,stat_points,8,,1.8%,,,2,0,32,0,32,0
Vileplume,112,stat_points,9,,1.4%,,,32,0,0,32,2,0
Vileplume,112,stat_points,10,,1.2%,,,32,0,32,0,1,0
Vileplume,112,stat_points,11,,1.0%,,,0,0,0,32,2,32
Vileplume,112,stat_points,12,,0.9%,,,2,0,0,32,0,32
Vileplume,112,ability,1,Effect Spore,91.1%,,,,,,,,
Vileplume,112,ability,2,Chlorophyll,8.9%,,,,,,,,
