pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Vivillon Fancy Pattern,92,move,1,Sleep Powder,99.5%,,,,,,,,
Vivillon Fancy Pattern,92,move,2,Quiver Dance,96.7%,,,,,,,,
Vivillon Fancy Pattern,92,move,3,Hurricane,95.7%,,,,,,,,
Vivillon Fancy Pattern,92,move,4,Substitute,85.5%,,,,,,,,
Vivillon Fancy Pattern,92,move,5,Bug Buzz,6.8%,,,,,,,,
Vivillon Fancy Pattern,92,move,6,Giga Drain,3.1%,,,,,,,,
Vivillon Fancy Pattern,92,move,7,Tailwind,2.5%,,,,,,,,
Vivillon Fancy Pattern,92,move,8,Air Slash,2.1%,,,,,,,,
Vivillon Fancy Pattern,92,move,9,U-turn,1.6%,,,,,,,,
Vivillon Fancy Pattern,92,move,10,Energy Ball,1.1%,,,,,,,,
Vivillon Fancy Pattern,92,held_item,1,Leftovers,78.8%,,,,,,,,
Vivillon Fancy Pattern,92,held_item,2,Focus Sash,14.3%,,,,,,,,
Vivillon Fancy Pattern,92,held_item,3,Wide Lens,1.9%,,,,,,,,
Vivillon Fancy Pattern,92,held_item,4,Sitrus Berry,1.3%,,,,,,,,
Vivillon Fancy Pattern,92,held_item,5,Bright Powder,0.8%,,,,,,,,
Vivillon Fancy Pattern,92,held_item,6,Quick Claw,0.5%,,,,,,,,
Vivillon Fancy Pattern,92,held_item,7,Choice Scarf,0.5%,,,,,,,,
Vivillon Fancy Pattern,92,held_item,8,Life Orb,0.4%,,,,,,,,
Vivillon Fancy Pattern,92,held_item,9,Lum Berry,0.2%,,,,,,,,
Vivillon Fancy Pattern,92,held_item,10,Mental Herb,0.1%,,,,,,,,
Vivillon Fancy Pattern,92,teammate,1,Garchomp,,,,,,,,,
Vivillon Fancy Pattern,92,teammate,2,Archaludon,,,,,,,,,
Vivillon Fancy Pattern,92,teammate,3,Mimikyu,,,,,,,,,
Vivillon Fancy Pattern,92,teammate,4,Basculegion Male,,,,,,,,,
Vivillon Fancy Pattern,92,teammate,5,Blaziken,,,,,,,,,
Vivillon Fancy Pattern,92,teammate,6,Raichu,,,,,,,,,
Vivillon Fancy Pattern,92,teammate,7,Staraptor,,,,,,,,,
Vivillon Fancy Pattern,92,teammate,8,Meowscarada,,,,,,,,,
Vivillon Fancy Pattern,92,teammate,9,Metagross,,,,,,,,,
Vivillon Fancy Pattern,92,teammate,10,Scizor,,,,,,,,,
Vivillon Fancy Pattern,92,stat_alignment,1,Timid,93.1%,Speed,Attack,,,,,,
Vivillon Fancy Pattern,92,stat_alignment,2,Modest,4.6%,Sp. Atk,Attack,,,,,,
Vivillon Fancy Pattern,92,stat_alignment,3,Bold,0.7%,Defense,Attack,,,,,,
Vivillon Fancy Pattern,92,stat_alignment,4,Hasty,0.4%,Speed,Defense,,,,,,
Vivillon Fancy Pattern,92,stat_alignment,5,Calm,0.3%,Sp. Def,Attack,,,,,,
Vivillon Fancy Pattern,92,stat_alignment,6,Mild,0.3%,Sp. Atk,Defense,,,,,,
Vivillon Fancy Pattern,92,stat_alignment,7,Jolly,0.2%,Speed,Sp. Atk,,,,,,
Vivillon Fancy Pattern,92,stat_alignment,8,Naive,0.1%,Speed,Sp. Def,,,,,,
Vivillon Fancy Pattern,92,stat_alignment,9,Quiet,0.1%,Sp. Atk,Speed,,,,,,
Vivillon Fancy Pattern,92,stat_alignment,10,Gentle,0.1%,Sp. Def,Defense,,,,,,
Vivillon Fancy Pattern,92,stat_points,1,,45.0%,,,2,0,0,32,0,32
Vivillon Fancy Pattern,92,stat_points,2,,18.6%,,,6,0,0,28,0,32
Vivillon Fancy Pattern,92,stat_points,3,,4.3%,,,0,0,2,32,0,32
Vivillon Fancy Pattern,92,stat_points,4,,4.2%,,,6,0,28,0,0,32
Vivillon Fancy Pattern,92,stat_points,5,,3.4%,,,0,0,0,32,2,32
Vivillon Fancy Pattern,92,stat_points,6,,2.4%,,,32,0,0,2,0,32
Vivillon Fancy Pattern,92,stat_points,7,,1.7%,,,0,0,0,32,0,32
Vivillon Fancy Pattern,92,stat_points,8,,1.6%,,,32,0,2,0,0,32
Vivillon Fancy Pattern,92,stat_points,9,,1.2%,,,2,0,32,0,0,32
Vivillon Fancy Pattern,92,stat_points,10,,1.0%,,,0,0,1,32,1,32
Vivillon Fancy Pattern,92,stat_points,11,,0.8%,,,32,0,0,0,0,32
Vivillon Fancy Pattern,92,stat_points,12,,0.6%,,,32,0,0,32,0,2
Vivillon Fancy Pattern,92,ability,1,Compound Eyes,99.3%,,,,,,,,
Vivillon Fancy Pattern,92,ability,2,Shield Dust,0.5%,,,,,,,,
Vivillon Fancy Pattern,92,ability,3,Friend Guard,0.2%,,,,,,,,
