pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Volcarona,34,move,1,Quiver Dance,96.8%,,,,,,,,
Volcarona,34,move,2,Fiery Dance,85.1%,,,,,,,,
Volcarona,34,move,3,Giga Drain,72.4%,,,,,,,,
Volcarona,34,move,4,Morning Sun,55.1%,,,,,,,,
Volcarona,34,move,5,Bug Buzz,34.2%,,,,,,,,
Volcarona,34,move,6,Will-O-Wisp,21.3%,,,,,,,,
Volcarona,34,move,7,Mystical Fire,8.6%,,,,,,,,
Volcarona,34,move,8,Psychic,6.9%,,,,,,,,
Volcarona,34,move,9,Flamethrower,4.7%,,,,,,,,
Volcarona,34,move,10,Substitute,3.2%,,,,,,,,
Volcarona,34,held_item,1,Sitrus Berry,45.6%,,,,,,,,
Volcarona,34,held_item,2,Leftovers,19.7%,,,,,,,,
Volcarona,34,held_item,3,Lum Berry,13.0%,,,,,,,,
Volcarona,34,held_item,4,Focus Sash,10.2%,,,,,,,,
Volcarona,34,held_item,5,Life Orb,3.0%,,,,,,,,
Volcarona,34,held_item,6,Choice Scarf,1.4%,,,,,,,,
Volcarona,34,held_item,7,Charti Berry,1.0%,,,,,,,,
Volcarona,34,held_item,8,Bright Powder,0.8%,,,,,,,,
Volcarona,34,held_item,9,Charcoal,0.8%,,,,,,,,
Volcarona,34,held_item,10,Passho Berry,0.7%,,,,,,,,
Volcarona,34,teammate,1,Garchomp,,,,,,,,,
Volcarona,34,teammate,2,Raichu,,,,,,,,,
Volcarona,34,teammate,3,Meowscarada,,,,,,,,,
Volcarona,34,teammate,4,Mimikyu,,,,,,,,,
Volcarona,34,teammate,5,Staraptor,,,,,,,,,
Volcarona,34,teammate,6,Metagross,,,,,,,,,
Volcarona,34,teammate,7,Archaludon,,,,,,,,,
Volcarona,34,teammate,8,Gyarados,,,,,,,,,
Volcarona,34,teammate,9,Basculegion Male,,,,,,,,,
Volcarona,34,teammate,10,Dragonite,,,,,,,,,
Volcarona,34,stat_alignment,1,Modest,38.7%,Sp. Atk,Attack,,,,,,
Volcarona,34,stat_alignment,2,Bold,34.5%,Defense,Attack,,,,,,
Volcarona,34,stat_alignment,3,Timid,21.3%,Speed,Attack,,,,,,
Volcarona,34,stat_alignment,4,Calm,4.0%,Sp. Def,Attack,,,,,,
Volcarona,34,stat_alignment,5,Mild,0.6%,Sp. Atk,Defense,,,,,,
Volcarona,34,stat_alignment,6,Quiet,0.3%,Sp. Atk,Speed,,,,,,
Volcarona,34,stat_alignment,7,Hasty,0.2%,Speed,Defense,,,,,,
Volcarona,34,stat_alignment,8,Gentle,0.1%,Sp. Def,Defense,,,,,,
Volcarona,34,stat_alignment,9,Relaxed,0.1%,Defense,Speed,,,,,,
Volcarona,34,stat_alignment,10,Sassy,0.1%,Sp. Def,Speed,,,,,,
Volcarona,34,stat_points,1,,15.6%,,,32,0,32,0,0,2
Volcarona,34,stat_points,2,,10.7%,,,2,0,0,32,0,32
Volcarona,34,stat_points,3,,3.8%,,,32,0,32,0,2,0
Volcarona,34,stat_points,4,,3.4%,,,1,0,1,32,0,32
Volcarona,34,stat_points,5,,3.4%,,,1,0,0,32,1,32
Volcarona,34,stat_points,6,,2.8%,,,32,0,32,2,0,0
Volcarona,34,stat_points,7,,2.8%,,,31,0,31,0,0,4
Volcarona,34,stat_points,8,,2.4%,,,0,0,2,32,0,32
Volcarona,34,stat_points,9,,2.2%,,,0,0,0,32,2,32
Volcarona,34,stat_points,10,,1.9%,,,32,0,0,32,0,2
Volcarona,34,stat_points,11,,1.8%,,,32,0,0,2,0,32
Volcarona,34,stat_points,12,,1.2%,,,31,0,32,0,0,3
Volcarona,34,ability,1,Flame Body,91.5%,,,,,,,,
Volcarona,34,ability,2,Swarm,8.5%,,,,,,,,
