pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Zoroark,164,move,1,Night Daze,83.5%,,,,,,,,
Zoroark,164,move,2,Flamethrower,42.3%,,,,,,,,
Zoroark,164,move,3,Counter,34.4%,,,,,,,,
Zoroark,164,move,4,Sludge Bomb,32.5%,,,,,,,,
Zoroark,164,move,5,Sucker Punch,28.6%,,,,,,,,
Zoroark,164,move,6,Encore,21.5%,,,,,,,,
Zoroark,164,move,7,Nasty Plot,17.5%,,,,,,,,
Zoroark,164,move,8,Memento,16.9%,,,,,,,,
Zoroark,164,move,9,Grass Knot,14.7%,,,,,,,,
Zoroark,164,move,10,U-turn,14.0%,,,,,,,,
Zoroark,164,held_item,1,Focus Sash,62.5%,,,,,,,,
Zoroark,164,held_item,2,Choice Scarf,13.9%,,,,,,,,
Zoroark,164,held_item,3,Life Orb,8.0%,,,,,,,,
Zoroark,164,held_item,4,Quick Claw,2.9%,,,,,,,,
Zoroark,164,held_item,5,Expert Belt,1.7%,,,,,,,,
Zoroark,164,held_item,6,Bright Powder,1.6%,,,,,,,,
Zoroark,164,held_item,7,Wise Glasses,1.0%,,,,,,,,
Zoroark,164,held_item,8,Sitrus Berry,1.0%,,,,,,,,
Zoroark,164,held_item,9,Lum Berry,0.8%,,,,,,,,
Zoroark,164,held_item,10,Black Glasses,0.7%,,,,,,,,
Zoroark,164,teammate,1,Garchomp,,,,,,,,,
Zoroark,164,teammate,2,Meowscarada,,,,,,,,,
Zoroark,164,teammate,3,Raichu,,,,,,,,,
Zoroark,164,teammate,4,Staraptor,,,,,,,,,
Zoroark,164,teammate,5,Dragonite,,,,,,,,,
Zoroark,164,teammate,6,Archaludon,,,,,,,,,
Zoroark,164,teammate,7,Metagross,,,,,,,,,
Zoroark,164,teammate,8,Mimikyu,,,,,,,,,
Zoroark,164,teammate,9,Blaziken,,,,,,,,,
Zoroark,164,teammate,10,Charizard,,,,,,,,,
Zoroark,164,stat_alignment,1,Timid,47.9%,Speed,Attack,,,,,,
Zoroark,164,stat_alignment,2,Modest,19.8%,Sp. Atk,Attack,,,,,,
Zoroark,164,stat_alignment,3,Hasty,11.0%,Speed,Defense,,,,,,
Zoroark,164,stat_alignment,4,Mild,6.2%,Sp. Atk,Defense,,,,,,
Zoroark,164,stat_alignment,5,Naive,5.8%,Speed,Sp. Def,,,,,,
Zoroark,164,stat_alignment,6,Jolly,2.9%,Speed,Sp. Atk,,,,,,
Zoroark,164,stat_alignment,7,Adamant,2.3%,Attack,Sp. Atk,,,,,,
Zoroark,164,stat_alignment,8,Rash,1.2%,Sp. Atk,Sp. Def,,,,,,
Zoroark,164,stat_alignment,9,Quiet,0.9%,Sp. Atk,Speed,,,,,,
Zoroark,164,stat_alignment,10,Bold,0.6%,Defense,Attack,,,,,,
Zoroark,164,stat_points,1,,48.2%,,,2,0,0,32,0,32
Zoroark,164,stat_points,2,,11.3%,,,0,0,2,32,0,32
Zoroark,164,stat_points,3,,6.2%,,,0,2,0,32,0,32
Zoroark,164,stat_points,4,,6.2%,,,0,0,0,32,2,32
Zoroark,164,stat_points,5,,3.9%,,,0,0,0,32,0,32
Zoroark,164,stat_points,6,,3.1%,,,2,32,0,0,0,32
Zoroark,164,stat_points,7,,2.6%,,,0,0,0,32,32,2
Zoroark,164,stat_points,8,,1.4%,,,1,0,0,32,0,32
Zoroark,164,stat_points,9,,1.4%,,,32,0,0,2,0,32
Zoroark,164,stat_points,10,,1.2%,,,0,0,32,32,0,2
Zoroark,164,stat_points,11,,1.2%,,,32,0,2,32,0,0
Zoroark,164,stat_points,12,,0.9%,,,8,0,7,32,1,18
Zoroark,164,ability,1,Illusion,100.0%,,,,,,,,
